Date ,Report Type ,Street ,Sub-Division
7/15/2005,CITIZEN REQUESTED ASSISTANCE ,"64 W EXIT 238, CAMP PERRY ",
2/1/2005,CITIZEN REQUESTED ASSISTANCE ,AMBER LANE ,CALLAHAN VILLAGE DUPLEXES
11/19/2005,"ASSAULT, SIMPLE, DOMESTIC ",ANNAPOLIS CIRCLE ,FAIRFIELD AT KINGSGATE
7/16/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,BANNAKER DRIVE ,CARVER GARDENS
1/2/2005,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,CARVER GARDENS
2/4/2005,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,CARVER GARDENS
9/1/2005,"BURGLARY, RESIDENTIAL ",BANNEKER DRIVE ,CARVER GARDENS
10/27/2005,IDENTITY FRAUD ,BANNEKER DRIVE ,CARVER GARDENS
10/28/2005,"LARCENY,FROM MOTOR VEHICLE ",BANNEKER DRIVE ,CARVER GARDENS
10/29/2005,"DAMAGE PROPERTY, PRIVATE ",BANNEKER DRIVE ,CARVER GARDENS
10/29/2005,"LARCENY,FROM MOTOR VEHICLE ",BANNEKER DRIVE ,CARVER GARDENS
11/30/2005,"DAMAGE PROPERTY, PRIVATE ",BANNEKER DRIVE ,CARVER GARDENS
12/10/2005,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,CARVER GARDENS
8/17/2005,PETIT LARCENY ,BEGONIA WAY ,KINGS CREEK PLANTATION
3/12/2005,CITIZEN REQUESTED ASSISTANCE ,BETHUNE DRIVE ,CARVER GARDENS
4/24/2005,POSSESS FIREARMS BY CONVICTED FELONS ,BETHUNE DRIVE ,CARVER GARDENS
5/24/2005,DEAD ON ARRIVAL ,BETHUNE DRIVE ,CARVER GARDENS
6/24/2005,OBSCENE/THREATENING PHONE CALL ,BETHUNE DRIVE ,CARVER GARDENS
9/11/2005,"ASSAULT, SIMPLE ",BETHUNE DRIVE ,CARVER GARDENS
9/11/2005,"DAMAGE PROPERTY, PRIVATE ",BETHUNE DRIVE ,CARVER GARDENS
9/13/2005,POSSESS FIREARMS BY CONVICTED FELONS ,BETHUNE DRIVE ,CARVER GARDENS
2/5/2005,CITIZEN REQUESTED ASSISTANCE ,BLALOCK DRIVE ,YORK TERRACE
6/21/2005,CITIZEN REQUESTED ASSISTANCE ,BLALOCK DRIVE ,YORK TERRACE
6/26/2005,CITIZEN REQUESTED ASSISTANCE ,BLALOCK DRIVE ,YORK TERRACE
6/26/2005,"DAMAGE PROPERTY, PRIVATE ",BLALOCK DRIVE ,YORK TERRACE
9/11/2005,GRAND LARCENY ,BOSTON COMMONS ,FAIRFIELD AT KINGSGATE
7/28/2005,PETIT LARCENY ,BOULDER WAY ,COBBLE CREEK
3/31/2005,ANNOYING PHONE CALLS ,BOWSTRING DRIVE ,QUEENS LAKE
1/9/2005,"DAMAGE PROPERTY, PRIVATE ",BRITTANIA DRIVE ,QUEENS LAKE ESTATES
3/27/2005,PETIT LARCENY ,BRITTANIA DRIVE ,QUEENS LAKE ESTATES
5/18/2005,"DAMAGE PROPERTY, PRIVATE ",BRITTANIA DRIVE ,QUEENS LAKE ESTATES
7/6/2005,CITIZEN REQUESTED ASSISTANCE ,BRITTANIA DRIVE ,QUEENS LAKE ESTATES
11/24/2005,CITIZEN REQUESTED ASSISTANCE ,BRITTANIA DRIVE ,QUEENS LAKE ESTATES
11/17/2005,CITIZEN REQUESTED ASSISTANCE ,BRONZE COURT ,WILLIAMSBURG BLUFFS
6/6/2005,RUNAWAY JUVENILE ,BRUTON DRIVE ,NELSON CIRCLE
6/8/2005,"ASSAULT, SIMPLE ",BRUTON DRIVE ,NELSON CIRCLE
12/15/2005,DEAD ON ARRIVAL ,BUNCHE DRIVE ,CARVER GARDENS
1/4/2005,CREDIT CARD FRAUD ,BURGUNDY ROAD ,VINEYARD HEIGHTS
2/22/2005,CITIZEN REQUESTED ASSISTANCE ,BURGUNDY ROAD ,VINEYARD HEIGHTS
7/26/2005,"ASSAULT, SIMPLE, DOMESTIC ",BURGUNDY ROAD ,VINEYARD HEIGHTS
1/2/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/9/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
2/9/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/11/2005,DISORDERLY CONDUCT ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/12/2005,DRUNK IN PUBLIC ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/13/2005,ABDUCTION/KIDNAPPING ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/13/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
2/13/2005,POSSESS FIREARMS BY CONVICTED FELONS ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/14/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/15/2005,MOTOR VEHICLE THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
2/22/2005,"SALE, POSS CONTROL SUBST -SCHED III,IV,V ",BYPASS ROAD ,
2/23/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/1/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/4/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",BYPASS ROAD ,WILLIAMSBURG NORTH
3/6/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/10/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/17/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/23/2005,DAMAGE PROPERTY ,BYPASS ROAD ,WILLIAMSBURG NORTH
3/23/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
3/29/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
3/29/2005,UNAUTHORIZED USE OF VEHICLE ,BYPASS ROAD ,WILLIAMSBURG NORTH
4/3/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
4/3/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
4/15/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BYPASS ROAD ,WILLIAMSBURG NORTH
4/15/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,BYPASS ROAD ,WILLIAMSBURG NORTH
4/15/2005,REFUSE BLOOD/BREATH TEST ,BYPASS ROAD ,WILLIAMSBURG NORTH
4/30/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
5/4/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
5/9/2005,OBSCENE/THREATENING PHONE CALL ,BYPASS ROAD ,WILLIAMSBURG NORTH
5/10/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
5/12/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
5/19/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
5/22/2005,"ASSAULT, SIMPLE, DOMESTIC ",BYPASS ROAD ,WILLIAMSBURG NORTH
6/15/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
6/20/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
6/20/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
6/29/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/4/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/6/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/9/2005,"ASSAULT, SIMPLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/12/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/12/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/12/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/13/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/13/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/15/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/15/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/16/2005,ABUSE AND NEGLECT OF CHILDREN ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/22/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/22/2005,DISORDERLY CONDUCT ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/23/2005,CITIZEN REQUESTED ASSISTANCE ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/25/2005,"LARCENY,FROM MOTOR VEHICLE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/26/2005,"DAMAGE PROPERTY, PRIVATE ",BYPASS ROAD ,WILLIAMSBURG NORTH
7/28/2005,INDECENT EXPOSURE ,BYPASS ROAD ,WILLIAMSBURG NORTH
7/29/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/5/2005,CREDIT CARD FRAUD ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/5/2005,PETIT LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/8/2005,GAS THEFT ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/12/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/17/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
8/17/2005,GRAND LARCENY ,BYPASS ROAD ,WILLIAMSBURG NORTH
