Criminal Offense (Public Property),2011 Total,Race,Religion,Sexual Orientation,Gender,Disability,Ethnicity/National Origin
a. Murder/ Non-negligent manslaughter,0,0,0,0,0,0,0
b. Negligent manslaughter,,,,,,,
c. Sex offenses - Forcible,0,0,0,0,0,0,0
d. Sex offenses - Non-forcible,0,0,0,0,0,0,0
e. Robbery,0,0,0,0,0,0,0
f. Aggravated assault,0,0,0,0,0,0,0
g. Burglary,0,0,0,0,0,0,0
h. Motor vehicle theft,0,0,0,0,0,0,0
i. Arson,0,0,0,0,0,0,0
j. Simple assault,0,0,0,0,0,0,0
k. Larceny-theft,0,0,0,0,0,0,0
l. Intimidation,0,0,0,0,0,0,0
m.  Destruction/damage/ vandalism of property,0,0,0,0,0,0,0
