Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”,Name: “Table 1 of 1 on page 57 of 125”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,
,,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total
Louisa County,4,3,6,3,5,6,3,5,35
Lunenburg County,2,0,0,3,2,3,2,4,16
Lynchburg,8,10,5,12,10,6,9,9,69
Madison County,1,4,2,1,1,1,2,2,14
Manassas,7,4,3,3,3,1,4,3,28
Manassas Park,0,0,0,0,0,0,0,0,0
Martinsville,4,5,9,6,9,6,6,1,46
Mathews County,1,3,0,2,0,0,3,0,9
Mecklenburg County,4,3,6,4,6,9,9,3,44
Middlesex County,1,0,2,2,1,2,3,0,11
Montgomery County,13,3,10,8,4,10,9,11,68
Nelson County,7,3,2,2,5,2,4,0,25
New Kent County,3,4,2,4,1,4,2,2,22
Newport News,15,24,23,16,16,18,13,11,136
Norfolk,28,28,43,32,31,32,31,32,257
Northampton County,1,4,0,4,1,4,1,0,15
Northu mberland County,1,0,1,2,1,1,3,1,10
Norton,2,5,5,0,2,3,0,0,17
Nottoway County,2,1,0,4,1,4,0,1,13
Orange County,4,3,1,3,3,0,6,6,26
Page County,1,2,3,3,5,0,5,6,25
Patrick County,5,3,1,6,4,6,5,2,32
Petersburg,4,4,4,3,3,5,4,2,29
Pittsylvania County,9,9,9,15,8,5,9,12,76
Poquoson,2,0,1,1,1,0,1,1,7
Portsmouth,13,6,14,10,10,10,12,9,84
Powhatan County,1,2,5,6,1,4,5,4,28
Prince Edward County,4,2,1,1,1,2,3,3,17
Prince George County,4,3,0,6,3,6,1,4,27
Prince William County,26,25,21,15,20,17,35,27,186
Pulaski County,4,4,7,11,7,7,7,10,57
Radford,3,3,1,2,0,2,4,1,16
Rappahannock County,0,1,0,2,1,1,1,1,7
Richmond City,42,21,45,44,27,27,50,32,288
Richmond County,1,1,4,0,3,1,4,0,14
Roanoke City,22,28,18,21,19,17,24,11,160
Roanoke County,6,12,10,15,10,9,13,7,82
Rockbridge County,4,3,2,2,2,5,1,4,23
Rockingham County,2,5,12,5,4,6,6,8,48
Russell County,6,9,9,6,2,9,6,6,53
Salem,3,4,1,2,8,6,3,6,33
Scott County,7,9,4,3,3,3,3,2,34
Shenandoah County,5,8,5,5,8,6,10,6,53
Smyth County,6,4,3,3,2,5,7,3,33
Southampton County,3,4,3,3,2,2,2,3,22
Spotsylvania County,5,5,9,11,9,8,6,13,66
Stafford County,12,5,5,8,7,9,11,9,66
Staunton,2,3,3,4,3,3,3,4,25
Suffolk,0,9,7,4,8,8,6,8,50
Surry County,1,1,1,1,1,0,0,0,5
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,,Page 51,Page 51,,,,
