Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”,Name: “Table 1 of 1 on page 120 of 125”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,,,,,,,
"Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006","Figure 74. Total Prisoner Cases by Manner of Death by Race/Ethnicity, 2006",
60,,,,,,,,,,,,,,,
,,51,,,,,,,,,,,,,
,,,,,,,50,,,,,,,,
50,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
,,,,,5,,,,,,,,,,
3,3,,,,,,,,,,,,,,
,,,,,,,2,,,,,,,,
,,,,,,1,,1,,,,,,1,
,,,0,,,,,,,0,0,0,,0,
0,,,,,,,,,,,,,,,
,,White,,,,,Black,,,,,Hispanic,,,
,,,Accident,Homicide,Homicide,,Natural,Suicide,Undetermined,Undetermined,Undetermined,,,,
,,"F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006","F igure 75. Total Prisoner Cases by Age Group, 2006",,,,
50,,,,,,,,,,,,,,,
45,,,,,,,,44,,,,,,,
40,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
,,,,,,,24,,,,,,,,
25,,,,,,,,,,,,,,,
,,,,,,,,,22,,,,,,
20,,,,,,,,,,,,,,,
,,,,,,,,,,14,14,,,,
15,,,,,,,,,,,,,,,
,,,,,,12,,,,,,,,,
10,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,,,
,,,,,5,,,,,,,,,,
5,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,
0,0,0,0,,,,,,,,,,,0,0
0,,,,,,,,,,,,,,,
0,1-4,5-9,10-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,65-74,75-84,85-94,,95+
,,,,,,Age Group (yrs),Age Group (yrs),,,,,,,,
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,,,
,,,,,Page 114,Page 114,,,,,,,,,
