Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”,Name: “Table 1 of 1 on page 24 of 125”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,
"Table 7. Total Cases by Locality of Injury Leading to Death, 2006","Table 7. Total Cases by Locality of Injury Leading to Death, 2006","Table 7. Total Cases by Locality of Injury Leading to Death, 2006","Table 7. Total Cases by Locality of Injury Leading to Death, 2006","Table 7. Total Cases by Locality of Injury Leading to Death, 2006","Table 7. Total Cases by Locality of Injury Leading to Death, 2006",
,,,Manner of Death,Manner of Death,,
,Acc ident,Homic ide,Natural,Su icid e,Undetermined,
Locality of Injury Leading to Death,Total,Tota l,Total,Tota l,Total,Total
ACCOMACK COUNTY,22,5,13,4,0,44
ALBEMARLE COUNTY,17,1,12,2,0,32
ALBERMARLE COUNTY,0,0,1,0,0,1
ALEXANDRIA,21,4,57,12,0,94
ALLEGHANY COUNTY,10,0,9,3,0,22
AMELIA COUNTY,4,0,3,2,0,9
AMHERST COUNTY,11,0,24,4,0,39
APPOMATTOX COUNTY,2,0,5,2,0,9
ARLINGTON,18,3,38,14,4,77
AUGUSTA COUNTY,26,3,19,12,1,61
BATH COUNTY,2,0,2,1,0,5
BEDFORD CITY,3,0,4,1,0,8
BEDFORD COUNTY,22,1,17,7,2,49
BLAND COUNTY,0,0,6,2,0,8
BOTETOURT COUNTY,12,0,7,3,0,22
BRISTOL,6,4,7,4,0,21
BRUNSWICK COUNTY,16,3,11,2,0,32
BUCHANAN COUNTY,21,1,5,5,1,33
BUCKINGHAM COUNTY,3,1,3,3,0,10
BUENA VISTA,0,0,2,0,0,2
CAMPBELL COUNTY,32,2,8,6,2,50
CAROLINE COUNTY,9,5,10,3,1,28
CARROLL COUNTY,17,1,10,6,0,34
CHARLES CITY COUNTY,4,0,2,0,0,6
CHARLOTTE COUNTY,4,0,5,3,0,12
CHARLOTTESVILLE,21,5,24,11,0,61
CHESAPEAKE,55,7,54,19,3,138
CHESTERFIELD COUNTY,56,5,54,29,4,148
CLARKE COUNTY,5,0,6,2,0,13
COLONIAL HEIGHTS,6,0,2,1,0,9
COVINGTON,4,0,4,2,0,10
CRAIG COUNTY,7,0,1,0,0,8
CULPEPER COUNTY,16,1,12,6,0,35
CUMBERLAND COUNTY,1,0,1,0,0,2
DANVILLE,16,5,17,7,2,47
DICKENSON COUNTY,11,0,4,2,0,17
DINWIDDIE COUNTY,12,5,14,3,0,34
EMPORIA,2,1,7,3,0,13
ESSEX COUNTY,4,0,2,0,1,7
FAIRFAX CITY,3,1,3,2,0,9
FAIRFAX COUNTY,221,29,161,85,6,502
FALLS CHURCH,2,0,0,0,0,2
FAUQUIER COUNTY,21,2,9,7,2,41
FLOYD COUNTY,13,0,5,2,0,20
FLUVANNA COUNTY,9,0,2,2,0,13
FRANKLIN CITY,2,0,1,0,0,3
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,Page 18,Page 18,,,,
