Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”,Name: “Table 1 of 1 on page 26 of 125”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,
,,,Manner of Death,Manner of Death,,
,Accident,Homicide,Natural,Suicide,Undetermined,
Locality of Injury Leading to Death,Total,Total,Total,Total,Total,Total
PITTSYLVANIA COUNTY,28,2,15,13,0,58
POQUOSON,5,0,1,1,0,7
PORTSMOUTH,29,18,41,8,1,97
POWHATAN COUNTY,14,0,29,5,0,48
PRINCE EDWARD COUNTY,9,0,12,3,1,25
PRINCE GEORGE COUNTY,9,0,3,6,1,19
PRINCE WILLIAM COUNTY,70,12,59,32,4,177
PULASKI COUNTY,16,1,16,11,2,46
RADFORD,2,1,3,1,1,8
RAPPAHANNOCK COUNTY,0,1,2,0,1,4
RICHMOND CITY,127,85,126,32,4,374
RICHMOND COUNTY,2,0,1,1,0,4
ROANOKE CITY,37,13,35,10,0,95
ROANOKE COUNTY,27,1,18,11,0,57
ROCKBRIDGE COUNTY,12,0,12,5,0,29
ROCKINGHAM COUNTY,30,1,15,9,0,55
RUSSELL COUNTY,19,2,7,5,0,33
SALEM,13,0,1,4,0,18
SCOTT COUNTY,6,0,5,3,0,14
SHENANDOAH COUNTY,14,0,12,7,0,33
SMITHFIELD COUNTY,1,0,0,0,0,1
SMYTH COUNTY,13,0,16,3,1,33
SOUTH BOSTON,2,0,5,3,0,10
SOUTHAMPTON COUNTY,10,1,9,4,1,25
SPOTSYLVANIA COUNTY,29,4,21,13,0,67
STAFFORD COUNTY,18,1,18,6,1,44
STAUNTON,7,0,5,4,0,16
SUFFOLK,16,8,24,11,1,60
SURRY COUNTY,2,0,1,0,0,3
SUSSEX COUNTY,13,1,5,1,1,21
TAZEWELL COUNTY,36,0,16,11,1,64
VIRGINIA BEACH,101,20,101,61,5,288
WARREN COUNTY,6,2,9,3,0,20
WASHINGTON COUNTY,18,0,26,6,0,50
WAYNESBORO,7,0,2,6,0,15
WESTMORELAND COUNTY,13,2,3,4,1,23
WILLIAMSBURG,6,1,23,10,0,40
WINCHESTER,15,2,11,6,0,34
WISE COUNTY,31,0,8,9,2,50
WYTHE COUNTY,11,1,10,4,0,26
YORK COUNTY,14,3,13,3,1,34
TOTAL FOR STATE,2317,422,2088,882,84,5793
OUT OF STATE,33,2,7,2,1,45
UNKNOWN,3,3,2,0,5,13
TOTAL,2353,427,2097,884,90,5851
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,Page 20,Page 20,,,,
