Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”,Name: “Table 1 of 1 on page 69 of 125”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,,
"Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006","Figure 33. Undetermined Deaths by Methods of Death, 2006",,
,,4,,,,,,,,
,Handgun,,,,,,,,,
,,5,,,,,,,,
Other Traumatic Causes,,,,,,,,,,
,,,9,,,,,,,
,Drowning,,,,,,,,,
,,,,12,,,,,,
Drug Poisoning,,,,,,,,,,
,,,,,,,,,,45
Undetermined Cause,,,,,,,,,,
,0,5,10,15,20,25,30,35,40,45
,,"Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006","Table 19. Undetermined Deaths by Fatal Agency, 2006",,
,,,,,,,,Total Cases,Total Cases,Autopsied
Undetermined Manner & Cause of Death,Undetermined Manner & Cause of Death,Undetermined Manner & Cause of Death,Undetermined Manner & Cause of Death,,,,,,,
Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,,,45,,42
Subtotal for Undetermined Manner & Cause of Death,Subtotal for Undetermined Manner & Cause of Death,Subtotal for Undetermined Manner & Cause of Death,Subtotal for Undetermined Manner & Cause of Death,Subtotal for Undetermined Manner & Cause of Death,,,,45,,42
Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,,,,,
,Asphyxia,,,,,,,,,
Drowning,Drowning,,,,,,,9,,8
,Hanging,,,,,,,1,,1
Suffocation/Smothering,Suffocation/Smothering,Suffocation/Smothering,,,,,,3,,3
,Drug Use,,,,,,,,,
Ingested/Injected medication,Ingested/Injected medication,Ingested/Injected medication,,,,,,12,,12
,Fall,,,,,,,,,
Fall from height/same height,Fall from height/same height,Fall from height/same height,,,,,,1,,0
,Fire,,,,,,,,,
Explosion/Victim of fire,Explosion/Victim of fire,Explosion/Victim of fire,,,,,,1,,1
,Poisoned,,,,,,,,,
Inhaled toxic agent,Inhaled toxic agent,,,,,,,2,,1
Traumatic Injury,,,,,,,,,,
Beating/Blows/Blunt instrument,Beating/Blows/Blunt instrument,Beating/Blows/Blunt instrument,Beating/Blows/Blunt instrument,,,,,2,,2
Gunshot wound,Gunshot wound,,,,,,,5,,5
Other traumatic causes,Other traumatic causes,Other traumatic causes,,,,,,5,,5
,Vehicular,,,,,,,,,
Driver/Passenger/Pedestrian,Driver/Passenger/Pedestrian,Driver/Passenger/Pedestrian,,,,,,3,,3
,Train,,,,,,,1,,1
Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,,45,,42
Determined Manner but Cause of Death Undetermined,Determined Manner but Cause of Death Undetermined,Determined Manner but Cause of Death Undetermined,Determined Manner but Cause of Death Undetermined,Determined Manner but Cause of Death Undetermined,Determined Manner but Cause of Death Undetermined,,,,,
Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,Undetermined cause of death after autopsy and/or toxicology,,0,,0
Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,Subtotal for Determined Manner but Cause of Death Undetermined,,0,,0
,Total,,,,,,,90,,84
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,,Page 63,Page 63,,,,,
