Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”,Name: “Table 1 of 1 on page 58 of 125”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,
,,,,Year of Death,Year of Death,,,,
Locality of D eath,1999,2000,2001,2002,2003,2004,2005,2006,Total
Sussex County,3,1,4,2,3,1,0,0,14
Tazewell County,15,9,7,5,9,6,12,11,74
Virgin ia Beach,44,42,37,35,43,48,30,59,338
Warren County,5,6,6,4,1,14,7,3,46
Washington County,8,16,12,6,7,8,8,6,71
Waynesboro,3,3,2,4,1,4,7,5,29
Westmoreland Co unty,1,4,2,2,2,1,4,4,20
Williamsburg,3,2,2,2,5,4,8,10,36
Winchester,12,8,5,10,9,6,4,3,57
Wise County,7,3,8,9,7,2,8,8,52
Wythe County,4,3,8,7,5,5,7,4,43
York County,5,4,3,1,7,3,4,2,29
Out of S tate,0,3,5,2,5,3,1,0,19
Total,810,775,809,818,804,840,875,855,5731
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,,Page 52,Page 52,,,,
