Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”,Name: “Table 1 of 1 on page 47 of 125”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,
,,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total
LANCASTER COUNTY,11,8,5,9,4,3,3,7,50
LEE COUNTY,8,14,13,6,23,17,20,9,110
LEXINGTON,10,4,1,5,1,4,2,1,28
LOUDOUN COUNTY,15,16,25,15,26,35,23,21,176
LOUISA COUNTY,7,11,8,12,7,14,10,13,82
LUNENBURG COUNTY,7,4,2,8,2,5,2,5,35
LYNCHBURG,39,42,39,40,45,50,36,43,334
MADISON COUNTY,2,2,2,4,5,5,3,0,23
MANASSAS,15,10,12,12,14,14,8,11,96
MARTINSVILLE,17,13,24,15,17,20,13,23,142
MATHEWS COUNTY,2,1,3,2,4,0,2,5,19
MECKLENBURG COUNTY,13,14,12,13,13,12,15,16,108
MIDDLESEX COUNTY,5,2,4,6,4,5,4,3,33
MONTGOMERY COUNTY,29,21,29,22,22,24,24,22,193
NELSON COUNTY,5,5,5,9,7,4,4,5,44
NEW KENT COUNTY,2,6,7,2,8,2,5,13,45
NEWPORT NEWS,56,56,52,52,56,54,52,58,436
NORFOLK,114,127,144,138,105,129,129,130,1016
NORTHAMPTON COUNTY,9,7,13,10,10,11,11,11,82
NORTHUMBERLAND COUNTY,0,3,2,1,3,1,6,2,18
NORTON,6,5,6,5,5,11,8,11,57
NOTTOWAY COUNTY,7,3,6,2,10,5,8,6,47
ORANGE COUNTY,7,4,6,10,6,9,8,7,57
PAGE COUNTY,3,10,10,7,7,5,6,3,51
PATRICK COUNTY,4,6,8,7,6,20,10,5,66
PETERSBURG,19,18,10,18,13,7,12,20,117
PITTSYLVANIA COUNTY,8,12,21,21,7,14,13,19,115
POQUOSON,3,0,2,0,0,2,1,3,11
PORTSMOUTH,24,23,24,24,27,34,24,22,202
POWHATAN COUNTY,0,2,5,3,8,2,6,13,39
PRINCE EDWARD COUNTY,2,7,11,4,8,7,13,8,60
PRINCE GEORGE COUNTY,3,9,7,8,5,10,6,7,55
PRINCE WILLIAM COUNTY,20,38,36,36,42,34,47,63,316
PULASKI COUNTY,11,8,18,20,14,13,17,11,112
RADFORD,2,3,1,3,0,2,3,1,15
RAPPAHANNOCK,1,0,1,1,3,3,5,0,14
RICHMOND CITY,166,200,188,179,225,203,170,204,1535
RICHMOND COUNTY,3,1,1,2,1,1,2,2,13
ROANOKE CITY,74,76,80,98,89,99,100,108,724
ROANOKE COUNTY,8,10,10,8,15,10,12,9,82
ROCKBRIDGE COUNTY,6,11,2,9,12,13,8,9,70
ROCKINGHAM COUNTY,10,9,11,13,19,20,15,20,117
RUSSELL COUNTY,9,11,29,12,29,25,19,19,153
SALEM,3,10,6,8,10,6,8,13,64
SCOTT COUNTY,3,10,9,12,9,12,6,6,67
SHENANDOAH COUNTY,6,8,7,12,11,11,10,15,80
SMYTH COUNTY,9,10,9,10,11,12,10,13,84
SOUTHAMPTON COUNTY,9,17,12,6,7,12,10,11,84
SPOTSYLVANIA COUNTY,13,21,15,8,13,12,16,23,121
STAFFORD COUNTY,7,7,12,4,12,8,5,15,70
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,,,Page 41,Page 41,,,,,
