Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”,Name: “Table 1 of 1 on page 48 of 125”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,
,,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total
STAUNTON,1,1,3,1,6,2,2,5,21
SUFFOLK,20,21,17,31,14,22,20,15,160
SURRY COUNTY,1,5,3,4,1,1,5,2,22
SUSSEX COUNTY,9,3,7,9,6,3,9,12,58
TAZEWELL COUNTY,8,9,15,19,20,26,37,39,173
VIRGINIA BEACH,57,70,73,67,72,76,93,91,599
WARREN COUNTY,7,11,5,9,16,19,10,6,83
WASHINGTON COUNTY,19,21,9,17,25,26,26,18,161
WAYNESBORO,2,1,3,3,0,3,6,6,24
WESTMORELAND COUNTY,5,1,9,6,5,3,5,7,41
WILLIAMSBURG,2,10,16,13,7,9,12,6,75
WINCHESTER,16,21,25,29,18,23,27,16,175
WISE COUNTY,7,16,7,11,21,27,12,25,126
WYTHE COUNTY,6,15,12,20,6,15,8,6,88
YORK COUNTY,2,8,12,2,11,5,11,10,61
TOTAL FOR STATE,1818,1968,2033,2145,2303,2326,2246,2354,17193
UNKNOWN,1,0,0,0,0,0,0,0,1
OUT OF STATE,1,1,2,0,2,2,2,0,10
TOTAL,1820,1969,2035,2145,2305,2328,2248,2354,17204
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,,,Page 42,Page 42,,,,,
