Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”,Name: “Table 1 of 1 on page 63 of 125”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,
Locality of Death,Locality of Death,Total,Total,Rate*,Locality of Death,Locality of Death,,Total,Rate*
Poquoson,Poquoson,,1,8.4,Staunton,Staunton,,1,4.3
Portsmouth,Portsmouth,17,17,16.8,Suffolk,Suffolk,,8,9.9
P owhatan County,P owhatan County,,0,0.0,Surry County,Surry County,,1,1 4.0
Prince Edward County,Prince Edward County,,0,0.0,Sus sex County,Sus sex County,,1,8 .2
Pri nce George County,Pri nce George County,,0,0.0,Tazewell County,Tazewell County,,0,0.0
Prince William County,Prince William County,12,12,3.4,Virginia Beach,Virginia Beach,,23,5.3
Pulaski County,Pulaski County,,0,0.0,Warren County,Warren County,,2,5.5
Radford,Radford,,1,6.9,Wa shington Co unty,Wa shington Co unty,,2,3.8
Rappahannock County,Rappahannock County,,0,0.0,Waynesboro,Waynesboro,,0,0.0
Richmond City,Richmond City,74,74,38.4,We stmoreland County,We stmoreland County,,1,5.8
Richmond County,Richmond County,,0,0.0,Williamsburg,Williamsburg,,2,1 7.0
Roanoke City,Roanoke City,13,13,14.2,Winchester,Winchester,,2,7.9
Roanoke County,Roanoke County,,1,1.1,Wise County,Wise County,,0,0 .0
Rockbridge Co unty,Rockbridge Co unty,,0,0.0,Wythe Coun ty,Wythe Coun ty,,1,3.5
Rockingham C ounty,Rockingham C ounty,,2,2.8,York County,York County,,2,3.2
Russell County,Russell County,,2,6.9,Subtotal for State,Subtotal for State,,425,5.6
Salem,,,0,0.0,Out of County,Out of County,,1,ND**
Scott County,Scott County,,0,0.0,Out of State,Out of State,,12,N D
Shenandoah Co un ty,Shenandoah Co un ty,,0,0.0,Un known,Un known,,3,ND
Smyth County,Smyth County,,0,0.0,Total,,,427,ND
Southampton County,Southampton County,,1,5.6,"*-Rate per 100, 000","*-Rate per 100, 000",,,
Spotsylvania Coun ty,Spotsylvania Coun ty,,3,2.5,**-ND- No Denominator,**-ND- No Denominator,,,
Stafford County,Stafford County,,1,0.8,,,,,
,"Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2006",
,,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total
Accomack,2,1,1,0,1,1,0,4,10
Albemarle,5,1,3,2,3,2,0,0,16
Alexandria,2,2,5,0,5,2,5,4,25
Alleghany,0,0,0,2,0,2,1,0,5
Amelia,0,1,0,0,1,0,1,1,4
Amherst,1,3,0,1,1,1,0,0,7
Appomattox,1,0,0,1,0,0,1,0,3
Arlington,3,10,2,5,3,2,3,3,31
Augusta,1,3,1,3,4,7,6,3,28
Bedford,2,1,1,2,0,0,0,0,6
Bland,0,1,0,0,0,0,0,0,1
Botetourt,0,2,0,0,1,0,0,0,3
Bristol,1,1,2,0,0,0,0,3,7
Brunswick,1,1,0,2,2,2,1,2,11
Buchanan,1,2,1,4,2,2,2,0,14
Buckingham,0,0,0,0,2,0,1,1,4
Campbell,2,1,0,0,0,2,0,0,5
Caroline,0,0,1,0,0,1,0,4,6
Carroll,1,2,0,1,1,0,1,1,7
Charles City,0,1,0,0,0,0,1,0,2
Charlotte,2,0,0,2,1,0,0,0,5
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,,Page 57,Page 57,,,,
