Name: “Table 1 of 1 on page 36 of 125”,Name: “Table 1 of 1 on page 36 of 125”,Name: “Table 1 of 1 on page 36 of 125”
Table: 36,Table: 36,Table: 36
,,
Pulmonary-Other,(7),(4)
Renal Diseases,8,2
Congenital Defect,19,14
Maternal and Fetal Complications,9,7
Sudden Infant Death Syndrome (SIDS),64,64
Natural- Other,11,7
Natural Subtotal,2095,877
Unnatural Deaths,Total Cases,Autopsied
Asphyxia,390,232
Aspiration (Food/Foreign Object),(20),(9)
Drowning,(138),(96)
Hanging,(151),(69)
Mechanical,(22),(12)
Po sitional,(10),(8)
Strangulation,(15),(12)
Suffo cation/Smothering,(34),(26)
Electrocution,8,7
Exposure,25,17
Hyperthermia,(11),(5)
Hypo thermia,(14),(12)
"Fire Injuries (Burns, CO Poisoning)",123,80
Gunshot Wound,812,803
Judicial Intervention,4,2
Substance Abuse,703,573
Ethanol Poisoning,(16),(9)
Prescription Drug Poisoning,(344),(298)
Illegal Drug Poisoning,(159),(127)
"Other Drug Poisonings (OTC, Inhalants, etc.)",(32),(23)
Acute Combined Drug Poisoning,(120),(104)
Carbon Monoxide Poisoning (Excludes Fire Deaths),(32),(12)
Blunt Force Injuries,1539,340
Head/Cervical Spine Injuries,(692),(126)
Multiple Injuries,(847),(214)
"Sharp Force Injuries (Cut, Stab, Incised)",83,80
Unnatural- Other,24,13
Unnatural Subtotal,3711,2147
Undetermined Deaths,Total Cases,Autopsied
Sudden Unexpected Infant Death (SUID),10,10
Skeletal/Mummified Remains,3,2
Undetermined After Autopsy and/or Investigation,32,31
Undetermined Subtotal,45,43
Total,5851,3072
"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",
Page 30,,
