Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”,Name: “Table 1 of 1 on page 55 of 125”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,
Locality of Residence,Locality of Residence,Total,Total,Rate*,Locality of Residence,Locality of Residence,,Total,Rate*
Prince Edward County,Prince Edward County,,3,14.6,Suffolk,Suffolk,,8,9.9
Prince George County,Prince George County,,4,11.1,Surry County,Surry County,,0,0 .0
Prince William County,Prince William County,27,27,7.6,Sussex County,Sussex County,,0,0.0
Pulaski County,Pulaski County,10,10,28.5,Tazewell County,Tazewell County,,11,24.7
Radford,,,1,6.9,Virginia Beach,Virginia Beach,,59,13.5
Rappahannock County,Rappahannock County,,1,13.9,Warren County,Warren County,,3,8.3
Richmond City,Richmond City,32,32,16.6,Washington County,Washington County,,6,1 1.5
Richmond County,Richmond County,,0,0.0,Wa ynesboro,Wa ynesboro,,5,2 3.3
Roanoke City,Roanoke City,11,11,12.0,Westmorela nd County,Westmorela nd County,,4,2 3.3
Roanoke County,Roanoke County,,7,7.7,Williamsbu rg,Williamsbu rg,,10,84.8
Rockbridge Co unty,Rockbridge Co unty,,4,18.7,Winchester,Winchester,,3,1 1.9
Rockingham County,Rockingham County,,8,11.0,Wise County,Wise County,,8,1 9.1
Russell County,Russell County,,6,20.8,Wythe Coun ty,Wythe Coun ty,,4,1 4.0
Salem,,,6,24.2,York County,York County,,2,3.2
Sc ott County,Sc ott County,,2,8.7,TOTAL FO R STATE,TOTAL FO R STATE,,855,1 1.2
Shenandoah Co unty,Shenandoah Co unty,,6,15.0,Out of State,Out of State,,28,N D**
Smyth County,Smyth County,,3,9.2,Unknown,Unknown,,1,N D**
Southampton C ounty,Southampton C ounty,,3,16.8,TOTAL,TOTAL,,884,N D**
Spotsylvania Coun ty,Spotsylvania Coun ty,13,13,10.9,"*- Rate per 100,000","*- Rate per 100,000",,,
Stafford County,Stafford County,,9,7.5,**- ND= No Denominator,**- ND= No Denominator,,,
Staunton,,,4,17.1,,,,,
,"Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2006",
,,,,Year of Death,Year of Death,,,,
Locality of Death,1 999,2 000,2 001,2 002,2 003,2 004,2 005,2 006,Tota l
Accomack County,6,4,2,2,4,2,5,4,29
Albemarle County,7,8,7,5,10,16,3,3,59
Alexandria,8,9,11,13,18,14,8,13,94
Alleghany County,0,2,3,1,4,1,2,4,17
Amelia County,0,0,1,2,2,3,2,3,13
Amherst County,4,1,3,10,1,4,3,3,29
Appomattox County,0,0,1,4,2,1,5,2,15
Arlington County,9,14,10,22,15,14,27,11,122
Augusta County,11,6,3,10,12,13,9,12,76
Bath County,0,0,1,0,0,2,0,1,4
Bedford City,1,2,2,0,0,0,0,1,6
Bedford County,9,11,10,4,7,5,8,7,61
Bland County,3,0,1,0,3,2,0,2,11
Botetourt County,5,4,4,4,2,2,7,3,31
Bristol,0,2,1,1,3,3,5,3,18
Brunswick County,0,1,0,2,4,1,3,1,12
Buchanan County,6,4,9,8,5,8,6,4,50
Buckingham County,4,4,2,2,0,1,0,3,16
Buena Vista,0,2,0,1,0,2,1,0,6
Campbell County,4,5,9,2,5,6,7,6,44
Caroline County,5,3,1,2,5,1,2,3,22
Carroll County,6,10,3,3,2,8,6,5,43
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,,Page 49,Page 49,,,,
