Name: “Table 1 of 1 on page 111 of 125”,Name: “Table 1 of 1 on page 111 of 125”,Name: “Table 1 of 1 on page 111 of 125”
Table: 111,Table: 111,Table: 111
,,
Class,Drug/Metabolite,Total
,MEPROBAMATE,21
,NORDIAZEPAM (Diazepam Metabolite),89
,Anti-Anxiety Tot al,282
A nti-Arry thmic/Anti-Hypertensive,A nti-Arry thmic/Anti-Hypertensive,
,DILTIAZEM,4
,METOPROLOL,2
,VERAPAMIL,3
,Anti-Arrythmic/Anti-H ypertensive Total,9
A nti-Conv ulsant,A nti-Conv ulsant,
,CARBAMAZEPINE,2
,CLONAZEPA M,6
,GABAPENTIN,3
,LAMOTRIGINE,3
,OXCARBAZEPINE,1
,PHENOBARBITAL,1
,PHENYTOI N,2
,VALPROATE,5
,Anti-Convu lsant Total,23
A nti-Depr essant,A nti-Depr essant,
,AMITRIPTYLINE,18
,BUPROPION (WELLBUTRIN),17
,CITALOPRAM,43
,DESIPRAMINE,1
,DESMETHYLSERT RALINE (Sertraline Metabolite),1
,DOXEPIN,9
,FLUOXETINE,30
,FLUVOXAMINE,1
,IMIPRAMINE,1
,MIRTAZAPINE,15
,NORDOXEPIN (Do xepine Metabolite),5
,NORFLUOXET INE (Fluoxetine Metabolite),3
,NORTRIPTYLENE,20
,PAROXETINE,10
,SERTRALINE,17
,TRAZODONE,23
,VENLAFAXINE,24
,Anti-Depressant Total,238
Antihistam ine,Antihistam ine,
,BENZTROPINE,1
,BROMPHENIRAMINE,1
,CHLORPHENIRAMINE,17
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",
,Page 105,
