Name: “Table 1 of 1 on page 115 of 125”,Name: “Table 1 of 1 on page 115 of 125”,Name: “Table 1 of 1 on page 115 of 125”
Table: 115,Table: 115,Table: 115
,,
Class,Drug/Metabolite,Total
,AMITRIPTYLINE,15
,BUPROPION (WELLBUTRIN),15
,CITALOPRAM,30
,DOXEPIN,9
,FLUOXETINE,17
,MIRTAZAPINE,9
,NORDOXEPIN (Doxepine Metabolite),2
,NORFLUOXETINE (Fluoxetine Metabolite),3
,NORTRIPTYLENE,9
,PAROXETINE,9
,SERTRALINE,12
,TRAZODONE,17
,VENLAFAXINE,16
,Anti-Depressant Total,163
Antihistamine,Antihistamine,
,BENZTROPINE,1
,CHLORPHENIRAMINE,10
,DIPHENHYDRAMINE,38
,DOXYLAMINE,2
,TRIPROLIDINE,1
,Antihistamine Total,52
Anti-Psychot ic,Anti-Psychot ic,
,CHLORPROMAZINE,2
,CLOZAPINE,2
,OLANZAPINE,4
,QUETIAPINE,23
,RESPIRDAL,1
,Anti-P sychotic Total,32
Anti-Arrhythmic,Anti-Arrhythmic,
,ATENOLOL,1
,CARDIZEM,1
,Anti-Arrhythmic Total,2
Muscle Relaxant,Muscle Relaxant,
,CARISOPRODOL,10
,CYCLOBENZAPRINE,13
,METAXALONE,3
,Muscle Relaxant Total,26
Narcotic,,
,ACETYLMORPHINE (Heroin Metabolite),19
,CODEINE,23
,FENTANYL,51
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",
,Page 109,
