Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”,Name: “Table 1 of 1 on page 45 of 125”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,,,
,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,
,,,Ingested and/or,Ingested and/or,,,,,,
,,,"injected illicit,","injected illicit,",,,Passenger,Pedestrian,Pedestrian,
Locality of injury leading to,,,"prescription, and/or","prescription, and/or",Driver of,Driver of,of,hit by,hit by,
accidental death,Drowned,Fall,OTC medications,OTC medications,auto/truck,auto/truck,auto/truck,auto/truck,auto/truck,TOTAL
SPOTSYLVANIA COUNTY,2,7,,1,,9,2,,0,21
STAFFORD COUNTY,3,1,,3,,3,0,,1,11
STAUNTON,0,1,,2,,2,0,,0,5
SUFFOLK,3,0,,1,,10,1,,1,16
SURRY COUNTY,0,0,,0,,2,0,,0,2
SUSSEX COUNTY,0,0,,0,,9,3,,0,12
TAZEWELL COUNTY,0,2,,20,,7,0,,0,29
VIRGINIA BEACH,14,31,,20,,11,5,,4,85
WARREN COUNTY,1,0,,2,,2,0,,0,5
WASHINGTON COUNTY,0,2,,5,,3,3,,0,13
WAYNESBORO,0,0,,4,,2,0,,0,6
WESTMORELAND COUNTY,1,1,,0,,5,1,,0,8
WILLIAMSBURG,0,1,,1,,2,0,,0,4
WINCHESTER,0,2,,4,,5,3,,0,14
WISE COUNTY,1,0,,20,,5,0,,0,26
WYTHE COUNTY,1,2,,0,,5,2,,0,10
YORK COUNTY,3,4,,4,,2,1,,0,14
TOTAL FOR STATE,114,360,,499,,563,218,,92,1846
OUT OF STATE,0,9,,3,,3,6,,2,23
UNKNOWN,0,4,,0,,0,1,,0,5
TOTAL,114,373,,502,,566,225,,94,1874
,"Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2006",
,,,,Year of Death,Year of Death,,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total,
ACCOMACK,13,17,17,14,16,17,18,16,128,
ALBEMARLE COUNTY,15,6,7,22,26,37,24,16,153,
ALEXANDRIA,19,16,17,20,14,18,14,22,140,
ALLEGHANY COUNTY,4,3,3,4,3,5,4,10,36,
AMELIA COUNTY,4,5,3,5,2,4,7,4,34,
AMHERST COUNTY,9,4,5,3,5,3,4,7,40,
APPOMATTOX COUNTY,2,1,3,6,2,2,6,1,23,
ARLINGTON,28,35,34,44,31,21,15,17,225,
AUGUSTA COUNTY,16,18,24,24,26,28,33,25,194,
BATH COUNTY,3,1,2,3,6,2,0,1,18,
BEDFORD CITY,1,1,5,2,2,0,5,1,17,
BEDFORD COUNTY,15,9,16,16,14,18,19,14,121,
BLAND COUNTY,2,1,8,4,2,2,3,0,22,
BOTETOURT COUNTY,9,7,9,8,6,10,3,4,56,
BRISTOL,1,1,0,2,6,4,11,5,30,
BRUNSWICK COUNTY,8,8,7,9,5,12,19,13,81,
BUCHANAN COUNTY,11,10,16,19,20,21,6,20,123,
BUCKINGHAM COUNTY,8,7,8,5,8,6,4,2,48,
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,Page 39,Page 39,,,,,,
