Name: “Table 1 of 1 on page 112 of 125”,Name: “Table 1 of 1 on page 112 of 125”,Name: “Table 1 of 1 on page 112 of 125”
Table: 112,Table: 112,Table: 112
,,
Class,Drug/Metabolite,Total
,DIPHENHYDRAMINE,61
,DOXYLAMINE,5
,TRIPROLIDINE,1
,Antihistamine Total,86
Anti-Psyc ho tic,Anti-Psyc ho tic,
,CHLORPROMAZINE,2
,CLOZAPINE,2
,OLANZAPINE,6
,QUETIAPINE,31
,RE SPIRDAL,1
,Anti-Psychotic Total,42
A nti-Arrhyth mic,A nti-Arrhyth mic,
,ATENOLOL,1
,CARDIZEM,1
,An ti-Arrhythmic Total,2
Cannabinoids,Cannabinoids,
,TETRAHYDROCANNABINOL,8
,Cannabinoids Total,8
M ajor Tranq uilizer,M ajor Tranq uilizer,
,KETAMINE,1
,Ma jor Tranquilizer Total,1
Muscle Relaxant,Muscle Relaxant,
,CARISOPRODOL,18
,CYCLOBENZAPRINE,23
,METAXALONE,3
,Muscle Relaxant Total,44
Narcotic,,
,ACETYLMORPHINE (Heroin Metabolite),32
,CODEINE,48
,FENTANYL,52
,HYDROCODONE,89
,HYDROMORPHONE,17
,MEPERIDINE,1
,METHADONE,160
,MONOACETYLMO RPHINE (Heroin Metabolite),6
,MORPHINE,120
,NORPROPOXYPHENE (Propoxyphene Metabolite),3 0
,OXYCODONE,101
,OXYMORPHONE,26
,PROPOXYPHENE,34
,Narcot ic Total,716
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",
,Page 106,
