Name: “Table 1 of 1 on page 110 of 125”,Name: “Table 1 of 1 on page 110 of 125”,Name: “Table 1 of 1 on page 110 of 125”,Name: “Table 1 of 1 on page 110 of 125”,Name: “Table 1 of 1 on page 110 of 125”,Name: “Table 1 of 1 on page 110 of 125”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,
Locality of Resi denc e,Deaths,Rate*,Locality of Residence,Deaths,Rate*
Southampton County,1,5.6,Williamsburg,3,25.4
Spotsylvan ia County,5,4.2,Winchester,4,15.8
Stafford County,6,5.0,Wise County,21,50.1
Staunton,3,12.9,Wythe County,0,0.0
Suffolk,2,2.5,York County,3,4.8
Surry County,0,0.0,Subtotal for State,635,8.3
Sussex County,0,0.0,Out of Country,1,ND**
Tazewell County,20,44.8,Out of State,31,ND
Virginia Beach,33,7.6,Unknown,2,ND
Warren County,2,5.5,Total,669,ND
Washington County,7,13.5,"*Rate per 100,000",,
Waynesboro,4,18.6,**ND-No Denominator,,
Westmorel and County,1,5.8,,,
,"Table 34. Drugs/Metabolites Present in Decedents, 2006","Table 34. Drugs/Metabolites Present in Decedents, 2006","Table 34. Drugs/Metabolites Present in Decedents, 2006",,
Class,Drug/Metabolite,,,Total,
Alcohol,,,,,
,ETHANOL,,,182,
,ISOPROPANOL,,,1,
,Alcohol Total,,,183,
A nalgesic,,,,,
,ACETAMINOPHEN,ACETAMINOPHEN,,20,
,DEXTROMETHORPHAN,DEXTROMETHORPHAN,,13,
,IBUPROFE N,,,3,
,ORPHENADRINE,,,2,
,SALICYLATE,,,3,
,TRAMADOL,,,24,
,Analgesic Total,,,65,
A nti-Anxiety,,,,,
,ALPRAZOLAM,,,81,
,BUSIPRONE,,,1,
,CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE,,1,
,DESALKYFLURAZEPAM (Flurazepam Metabolite),DESALKYFLURAZEPAM (Flurazepam Metabolite),DESALKYFLURAZEPAM (Flurazepam Metabolite),3,
,DIAZEPAM,,,83,
,HYDROXYZINE,,,2,
,LORAZEPAM,,,1,
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,,Page 104,Page 104,,
