Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”,Name: “Table 1 of 1 on page 25 of 125”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,
,,,Manner of Death,Manner of Death,,
,Accident,Homicide,Natural,Suicide,Undetermined,
Locality of Injury Leading to Death,Total,Total,Total,Total,Total,Total
FRANKLIN COUNTY,27,2,14,5,1,49
FREDERICK COUNTY,23,7,14,9,0,53
FREDERICKSBURG,22,0,18,6,0,46
GALAX,0,1,2,1,0,4
GILES COUNTY,9,1,3,2,0,15
GLOUCESTER COUNTY,21,0,13,7,0,41
GOOCHLAND COUNTY,6,1,5,2,0,14
GRAYSON COUNTY,13,0,4,3,0,20
GREENE COUNTY,4,0,2,4,0,10
GREENSVILLE COUNTY,10,5,13,2,0,30
HALIFAX COUNTY,13,1,11,5,0,30
HAMPTON,31,14,50,13,0,108
HANOVER COUNTY,21,2,18,12,1,54
HARRISONBURG,11,4,11,2,0,28
HENRICO COUNTY,89,10,66,37,2,204
HENRY COUNTY,34,7,14,11,0,66
HIGHLAND COUNTY,1,0,2,0,0,3
HOPEWELL,5,4,11,1,0,21
ISLE OF WIGHT COUNTY,16,1,12,5,0,34
JAMES CITY COUNTY,17,1,18,5,1,42
KING & QUEEN COUNTY,5,0,3,2,0,10
KING GEORGE COUNTY,5,0,8,3,0,16
KING WILLIAM COUNTY,3,0,2,1,0,6
LANCASTER COUNTY,9,2,8,0,0,19
LEE COUNTY,11,0,12,5,0,28
LEXINGTON,3,0,0,0,0,3
LOUDOUN COUNTY,23,4,29,20,2,78
LOUISA COUNTY,16,0,9,5,0,30
LUNENBURG COUNTY,6,1,4,6,0,17
LYNCHBURG,13,2,25,8,1,49
MADISON COUNTY,3,0,4,2,0,9
MANASSAS,8,1,7,2,0,18
MARTINSVILLE,8,0,8,0,1,17
MATHEWS COUNTY,8,0,5,1,0,14
MECKLENBURG COUNTY,18,0,7,4,2,31
MIDDLESEX COUNTY,3,1,4,0,0,8
MONTGOMERY COUNTY,15,3,15,11,2,46
NELSON COUNTY,6,0,2,2,0,10
NEW KENT COUNTY,15,0,8,3,0,26
NEWPORT NEWS,52,20,59,11,2,144
NORFOLK,59,34,111,27,8,239
NORTHAMPTON COUNTY,6,2,4,0,0,12
NORTHUMBERLAND COUNTY,2,0,3,1,2,8
NORTON,3,0,2,0,0,5
NOTTOWAY COUNTY,6,0,14,1,0,21
ORANGE COUNTY,6,2,7,6,0,21
PAGE COUNTY,4,1,1,6,0,12
PATRICK COUNTY,5,0,1,3,0,9
PETERSBURG,16,10,23,1,0,50
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,Page 19,Page 19,,,,
