Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”,Name: “Table 1 of 1 on page 44 of 125”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,
,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,LEADING METHODS OF DEATH OF ACCIDENTAL DEATHS,
,,,Ingested and/or,,,,
,,,"injected illicit,",,Passenger,Pedestrian,
Locality of injury leading to,,,"prescription, and/or",Driver of,of,hit by,
accidental death,Drowned,Fall,OTC medications,auto/truck,auto/truck,auto/truck,TOTAL
LEXINGTON,1,2,0,0,0,0,3
LOUDOUN COUNTY,0,4,5,7,3,1,20
LOUISA COUNTY,0,3,2,5,4,0,14
LUNENBURG COUNTY,0,1,0,3,1,0,5
LYNCHBURG,0,6,2,1,0,1,10
MADISON COUNTY,0,0,0,1,0,0,1
MANASSAS,1,1,2,1,2,0,7
MARTINSVILLE,0,1,3,1,0,0,5
MATHEWS COUNTY,2,2,0,2,0,0,6
MECKLENBURG COUNTY,0,1,1,5,5,0,12
MIDDLESEX COUNTY,1,0,1,1,0,0,3
MONTGOMERY COUNTY,0,0,7,2,0,0,9
NELSON COUNTY,1,0,1,2,1,1,6
NEW KENT COUNTY,2,1,0,5,4,0,12
NEWPORT NEWS,3,9,17,3,3,1,36
NORFOLK,7,6,20,10,4,4,51
NORTHAMPTON COUNTY,0,0,0,3,1,0,4
NORTHUMBERLAND COUNTY,0,0,0,1,0,0,1
NORTON,0,0,2,1,0,0,3
NOTTOWAY COUNTY,0,0,0,2,1,1,4
ORANGE COUNTY,0,1,0,2,1,1,5
PAGE COUNTY,0,0,2,2,0,0,4
PATRICK COUNTY,0,1,0,2,0,0,3
PETERSBURG,0,2,4,2,2,0,10
PITTSYLVANIA COUNTY,0,2,7,8,3,1,21
POQUOSON,2,1,2,0,0,0,5
PORTSMOUTH,1,4,13,3,0,1,22
POWHATAN COUNTY,2,0,1,8,1,0,12
PRINCE EDWARD COUNTY,0,1,1,2,1,0,5
PRINCE GEORGE COUNTY,1,1,0,6,1,0,9
PRINCE WILLIAM COUNTY,3,1,17,18,8,7,54
PULASKI COUNTY,0,2,8,2,2,0,14
RADFORD,0,0,1,0,0,0,1
RICHMOND CITY,5,28,31,21,6,2,93
RICHMOND COUNTY,0,0,0,1,1,0,2
ROANOKE CITY,0,11,10,3,2,2,28
ROANOKE COUNTY,0,4,7,4,4,0,19
ROCKBRIDGE COUNTY,1,1,1,3,0,2,8
ROCKINGHAM COUNTY,1,3,3,11,8,0,26
RUSSELL COUNTY,1,0,10,4,0,1,16
SALEM,0,3,2,3,0,1,9
SCOTT COUNTY,1,0,1,2,2,0,6
SHENANDOAH COUNTY,1,0,1,5,3,0,10
SMITHFIELD COUNTY,0,1,0,0,0,0,1
SMYTH COUNTY,0,0,5,4,0,1,10
SOUTH BOSTON,0,0,1,0,0,1,2
SOUTHAMPTON COUNTY,0,0,0,4,2,1,7
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,,
,,,Page 38,,,,
