Name: “Table 1 of 1 on page 53 of 125”,Name: “Table 1 of 1 on page 53 of 125”,Name: “Table 1 of 1 on page 53 of 125”
Table: 53,Table: 53,Table: 53
,,
"Table 13. Suicide Deaths by Method of Death, 2006",,
,Total,
Method of Death,Cases,Autopsied
Asphyxia,,
Crushed/Suffocated,4,2
Drowned,15,13
Hanging,142,61
Helium,2,1
Plastic bag,11,6
Strangled,2,1
Drug Use,,
"Ingested and/or injected illicit, prescription, and/or OTC medications",139,114
Fire,,
Burned self,3,2
Smoke inhalation (Carbon Monoxide),2,0
Jump,,
Jumped from height,24,10
Motor Vehicle,,
Driver of auto/truck,2,2
Pedestrian hit by auto/truck,4,2
Train,4,3
Poisoned,,
Carbon Monoxide- (Generator or motor vehicle exhaust),20,5
Traumatic Injury,,
Shot self with of firearm,493,487
Handgun,(386),(380)
Rifle,(34),(34)
Shotgun,(71),(71)
Unspecified,(2),(2)
Cut/Stabbed self,16,15
Other traumatic causes,1,1
Total,884,725
"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
Page 47,,
