Name: “Table 1 of 1 on page 54 of 125”,Name: “Table 1 of 1 on page 54 of 125”,Name: “Table 1 of 1 on page 54 of 125”,Name: “Table 1 of 1 on page 54 of 125”,Name: “Table 1 of 1 on page 54 of 125”,Name: “Table 1 of 1 on page 54 of 125”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,
Table 14.,"Suicide Deaths by Locality of Residence, 2006","Suicide Deaths by Locality of Residence, 2006","Suicide Deaths by Locality of Residence, 2006",,
Locality of Residence,Total,Rate*,Locality of Residence,Total,Rate*
Accomack County,4,10.2,Gloucester County,6,15.7
Albemarle County,3,3.3,Goochland County,2,10.0
Alexandria,13,9.5,Grayson County,4,24.8
Alleghany County,4,24.1,Greene County,4,22.6
Amelia County,3,24.0,Greensville County,2,18.2
Amherst County,3,9.3,Halifax County,8,22.1
Appomattox County,2,14.2,Hampton,10,6.9
Arlington County,11,5.5,Hanover County,13,13.1
Augusta County,12,16.9,Harrisonburg,2,4.9
Bath County,1,20.8,Henrico County,39,13.7
Bedford City,1,16.0,Henry County,12,21.3
Bedford County,7,10.5,Highland County,0,0.0
Bland County,2,29.0,Hopewell,2,8.8
Botetourt County,3,9.3,Isle of Wight County,5,14.4
Bristol,3,17.1,James City County,4,6.7
Brunswick County,1,5.6,King and Queen County,2,29.0
Buchanan County,4,16.4,King George County,3,13.8
Buckingham County,3,18.6,King William County,1,6.5
Campbell County,6,11.4,Lancaster County,0,0.0
Caroline County,3,11.2,Lee County,5,21.0
Carroll County,5,17.0,Lexington,0,0.0
Charles City County,0,0.0,Loudoun County,20,7.4
Charlotte County,3,24.0,Louisa County,5,16.0
Charlottesville,9,22.3,Lunenburg County,4,30.3
Chesapeake,17,7.7,Lynchburg,9,13.3
Chesterfield County,30,10.1,Madison County,2,14.7
Clarke County,2,13.7,Manassas,3,8.2
Colonial Heights,1,5.7,Manassas Park,0,0.0
Covington,2,32.9,Martinsville,1,6.7
Craig County,0,0.0,Mathews County,0,0.0
Culpeper County,4,9.0,Mecklenbur g County,3,9.3
Cumberland Co un ty,0,0.0,Middlesex C ounty,0,0.0
Danville,8,17.5,Montgomer y County,11,1 3.0
Dickenson Cou nty,2,12.4,Ne lson County,0,0.0
Dinwiddie County,2,7.8,New Kent County,2,1 1.9
Emporia,3,53.3,Ne wport News,11,6 .2
Essex County,0,0.0,Norfolk,32,1 4.0
Fairfax City,0,0.0,Northampto n County,0,0.0
Fairfax County,85,8.4,Northumber land County,1,7.8
Falls Church,1,9.3,Norton,0,0.0
Fauq uier County,8,12.1,Nottoway County,1,6.4
Floyd County,2,13.5,Orange County,6,1 8.9
Fl uvanna County,2,8.0,Page County,6,2 4.9
Franklin City,1,11.4,Patrick County,2,10.4
Franklin County,6,11.8,Petersburg,2,6 .2
Frederick Coun ty,10,14.0,Pittsylvania County,12,19.5
Fr edericksburg,7,32.9,Poquoson,1,8.4
Galax,0,0.0,Portsmouth,9,8.9
Giles County,2,11.5,Powhatan County,4,14.5
,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,,Page 48,Page 48,,
