State Name,County,2013 Filings,2014 Filings
Virginia,Albemarle County,0,3
Virginia,Alexandria city,13,2
Virginia,Arlington County,1,0
Virginia,Augusta County,0,1
Virginia,Botetourt County,0,3
Virginia,Caroline County,2,0
Virginia,Chesapeake city,5,5
Virginia,Chesterfield County,5,4
Virginia,Culpeper County,0,1
Virginia,Dinwiddie County,0,3
Virginia,Essex County,1,0
Virginia,Fairfax County,76,282
Virginia,Falls Church city,9,19
Virginia,Fauquier County,0,2
Virginia,Fredericksburg city,5,0
Virginia,Hampton city,3,2
Virginia,Harrisonburg city,1,2
Virginia,Henrico County,3,2
Virginia,Isle of Wight County,1,0
Virginia,Loudoun County,2,1
Virginia,Mecklenburg County,1,0
Virginia,Newport News city,2,4
Virginia,Norfolk city,3,6
Virginia,Nottoway County,0,1
Virginia,Pittsylvania County,0,1
Virginia,Portsmouth city,3,3
Virginia,Prince William County,7,3
Virginia,Richmond County,1,0
Virginia,Richmond city,1,0
Virginia,Roanoke County,0,1
Virginia,Rockingham County,1,0
Virginia,Russell County,0,1
Virginia,Salem city,0,1
Virginia,Smyth County,1,0
Virginia,Spotsylvania County,1,0
Virginia,Suffolk city,0,1
Virginia,Virginia Beach city,5,17
Virginia,Wise County,2,0
