Type of Weapon/Force,Murder/Non-negligent Manslaughter,Negligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Firearm (type unk.),54,0,285,8,1,0,0,270
Automatic Firearm,7,0,46,0,0,0,0,100
Handgun,48,1,397,20,6,2,2,790
Automatic Handgun,9,0,68,5,1,0,0,170
Rifle,10,0,32,0,0,0,0,12
Automatic Handgun,2,0,1,0,0,0,0,2
Shotgun,12,0,49,0,0,0,0,48
Automatic Shotgun,1,0,0,0,0,0,0,1
Other Firearm,0,0,66,0,0,0,0,13
Other Auto. Firearm,0,0,0,0,0,0,0,1
Knife/Cutting Instr.,25,0,1163,35,9,6,2,187
Blunt Object,8,0,848,8,3,3,1,75
Motor Vehicle,1,0,244,0,0,0,0,3
Personal Weapons,10,0,2516,565,186,227,703,652
Poison,0,0,3,0,0,0,0,1
Explosives,0,0,3,0,0,0,0,6
Fire/Incend. Device,0,0,16,0,0,0,0,2
Drugs/Narc./Sleep Pills,0,0,2,5,1,1,0,1
Asphyxiation,2,0,2,0,0,0,0,0
Other,5,2,735,95,41,21,133,167
Unknown,18,2,411,60,44,55,64,133
