Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
ACCOMACK COUNTY,,,,
Sheriff's Office,49,41,8,4
Chincoteague PD,9,9,0,4
Onancock PD,5,5,0,0
Parksley PD,3,3,0,0
Onley PD,2,2,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,98,94,4,20
ALLEGHANY COUNTY,,,,
Sheriff's Office,30,26,4,8
AMELIA COUNTY,,,,
Sheriff's Office,10,10,0,7
AMHERST COUNTY,,,,
Sheriff's Office,55,43,12,19
Amherst PD,5,5,0,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,28,22,6,3
ARLINGTON COUNTY,,,,
Arlington PD,362,290,72,85
AUGUSTA COUNY,,,,
Sheriff's Office,91,80,11,14
BATH COUNTY,,,,
Sheriff's Office,21,16,5,0
BEDFORD COUNTY,,,,
Sheriff's Office,67,53,14,1
BLAND COUNTY,,,,
Sheriff's Office,8,8,0,6
BOTETOURT COUNTY,,,,
Sheriff's Office,60,54,6,16
BRUNSWICK COUNTY,,,,
Sheriff's Office,13,13,0,20
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff's Office,41,37,4,8
Grundy PD,6,6,0,1
BUCKINGHAM COUNTY,,,,
Sheriff's Office,14,12,2,4
CAMPBELL COUNTY,,,,
Sheriff's Office,50,47,3,3
Altavista PD,10,10,0,4
Brookneal PD,4,4,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,28,27,1,1
Bowling Green PD,2,2,0,0
CARROLL COUNTY,,,,
Sheriff's Office,27,26,1,6
Hillsville PD,8,8,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office,8,7,1,6
CHARLOTTE COUNTY,,,,
Sheriff's Office,27,20,7,0
CHESTERFIELD COUNTY,,,,
Chesterfield PD,408,382,26,93
CLARKE COUNTY,,,,
Sheriff's Office,13,13,0,7
Berryville PD,8,8,0,1
CRAIG COUNTY,,,,
Sheriff's Office,6,6,0,5
CULPEPER COUNTY,,,,
Sheriff's Office,62,49,13,15
Culpeper PD,28,25,3,6
CUMBERLAND COUNTY,,,,
Sheriff's Office,11,9,2,5
DICKENSON COUNTY,,,,
Sheriff's Office,27,22,5,8
Clintwood PD,3,3,0,1
Haysi PD,2,2,0,0
Clinchco,1,1,0,0
DINWIDDIE COUNTY,,,,
Sheriff's Office,47,46,1,11
McKenney PD,1,1,0,0
ESSEX COUNTY,,,,
Sheriff's Office,19,11,8,0
Tappahannock PD,10,8,2,1
FAIRFAX COUNTY,,,,
Fairfax County PD,1137,1010,127,341
Herndon PD,51,44,7,9
Vienna PD,39,34,5,11
FAUQUIER COUNTY,,,,
Sheriff's Office,87,78,9,14
Warrenton PD,17,14,3,3
FLOYD COUNTY,,,,
Sheriff's Office,18,17,1,9
FLUVANNA COUNTY,,,,
Sheriff's Office,16,13,3,4
FRANKLIN COUNTY,,,,
Sheriff's Office,68,61,7,14
Rocky Mount PD,15,14,1,1
FREDERICK COUNTY,,,,
Sheriff's Office,79,73,6,9
Middletown PD,2,2,0,0
Stephens City PD,3,3,0,0
GILES COUNTY,,,,
