Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M,0,0,0,0,0,0
,F,0,0,0,0,0,0
,U,0,0,0,0,0,0
10--14,M,0,2,0,0,0,2
,F,1,1,0,0,0,2
,U,0,0,0,0,0,0
15-19 ,M,3,13,0,0,0,16
,F,5,1,0,0,0,6
,U,0,0,0,0,0,0
20-24 ,M,15,21,0,1,0,34
,F,3,0,0,0,0,3
,U,0,0,0,0,0,0
25-29 ,M,10,12,0,0,0,22
,F,2,2,0,0,0,4
,U,0,1,0,0,0,1
30-34 ,M,5,10,0,0,0,15
,F,2,0,0,0,0,2
,U,0,0,0,0,0,0
35-39 ,M,9,9,0,0,0,18
,F,0,0,0,0,0,0
,U,0,0,0,0,0,0
40-44 ,M,8,1,0,0,0,9
,F,1,2,0,0,0,3
,U,0,0,0,0,0,0
45-49 ,M,4,1,0,0,0,5
,F,2,1,0,0,0,3
,U,0,0,0,0,0,0
50-54 ,M,4,4,0,0,0,8
,F,0,0,0,0,0,0
,U,0,0,0,0,0,0
55-59 ,M,1,3,0,0,0,4
,F,0,0,0,0,0,0
,U,0,0,0,0,0,0
60-64 ,M,4,0,0,0,0,4
,F,1,0,0,0,0,1
,U,0,0,0,0,0,0
65 & Over ,M,3,2,0,0,0,5
,F,1,0,0,0,0,1
,U,0,0,0,0,0,0
Unknown ,M,2,6,0,1,1,10
,F,0,0,0,0,0,0
,U,0,0,0,0,15,15
TOTAL ,M,65,84,0,2,1,152
,F,16,8,0,0,0,24
,U,0,1,0,0,15,16
