,Under 10,12-14,13-14,15,16,17,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Crack Cocaine,0,0,14,16,49,76,89,110,108,99,107,77,74,292,300,282,262,108,38,9,10,7,2127
Cocaine,0,0,3,8,16,33,51,57,81,78,49,60,45,198,196,233,145,73,25,6,2,1,1360
Hashish,0,0,0,0,0,0,1,1,2,1,2,0,0,3,3,3,3,3,0,0,0,0,22
Heroin,0,0,0,0,0,2,4,5,7,8,12,9,7,39,23,29,27,20,6,5,0,1,204
Marijuana,3,16,127,227,417,596,897,916,701,611,486,379,336,1042,788,738,421,218,78,29,6,4,9036
Morphine,0,0,2,4,1,2,1,2,3,1,0,0,0,0,3,1,1,4,1,0,0,0,26
Opium,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,,
Other Narcotics,0,2,3,1,3,2,3,5,5,8,8,5,7,75,22,25,26,17,10,1,1,2,231
LSD,0,0,1,2,5,2,8,11,6,2,2,1,1,4,0,0,0,0,0,0,0,0,45
PCP,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,,
Other Halucinogens,0,0,1,1,1,0,2,7,4,1,7,1,1,3,0,2,0,0,0,0,0,0,31
Amphetamines/Methamphetamines,0,0,0,0,1,2,1,1,4,3,5,4,3,12,11,11,10,12,2,1,0,0,83
Other Stimulants,0,0,1,4,2,0,1,2,1,0,3,0,0,4,3,8,3,1,1,1,0,0,35
Barbituates,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,1,9,,
Other Depressants,0,0,0,1,1,1,0,1,0,0,2,0,0,2,1,6,5,0,1,0,0,0,21
Other Drugs,0,4,12,5,4,9,2,3,2,4,0,6,4,27,33,24,8,5,2,3,1,2,160
Unknown Drug Type,0,0,5,6,10,11,30,19,34,21,24,14,5,53,36,53,30,10,2,4,4,97,468
IBR TOTAL,3,22,169,275,510,737,1090,1140,959,838,708,557,484,1755,1421,1417,942,473,166,59,24,115,13864
