Arrests,2007 Adult ,2008 Adult,% CHANGE Adult,2007 Juvenile ,2008 Juvenile  ,% CHANGE Juvenile
Homicide ,4,3,25.00%,0,0,N/C
Rape ,10,8,-20,4,0,-100.00%
Robbery ,53,53,0,18,49,172.20%
Aggravated Assault ,91,88,-3.3,8,22,175.00%
Burglary ,60,80,33.3,21,15,-28.60%
Larceny ,418,498,19.1,133,151,13.50%
Grand Larceny Auto ,29,43,48.3,7,7,0.00%
Other Assault ,478,541,13.2,81,94,16.00%
Arson ,0,1,N/C ,1,0,-100.00%
Forgery ,47,23,-51.1,2,3,50.00%
Fraud ,109,86,-21.1,6,1,-83.30%
Embezzlement ,61,52,-14.8,9,13,44.40%
Stolen Property ,16,6,-62.5,9,3,-66.70%
Vandalism ,93,136,46.2,28,23,-17.90%
Weapons ,46,31,-32.6,24,13,-45.80%
Prostitution ,23,26,13,0,0,N/C
Sex Offense Other ,11,30,172.7,0,2,N/C
Drug Abuse Violation ,459,409,-10.9,23,53,130.40%
Gambling ,65,28,-56.9,1,4,300.00%
D.W.I. ,589,512,-13.1,3,3,0.00%
Liquor Laws ,624,654,4.8,79,84,6.30%
Drunkenness ,1029,"1,040",1.1,3,5,66.70%
Disorderly Conduct ,194,183,-5.7,8,16,100.00%
All Other Offenses ,"1,681","1,801",7.1,244,362,48.40%
Total Arrests ,"6,190","6,332",2.30%,712,23,29.60%
