Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,261,0.23,3.58
Negligent Manslaughter,4,0,0.05
Kidnapping,714,0.63,9.79
Forcible Rape,482,0.43,6.61
Forcible Sodomy,207,0.18,2.84
Sexual Assault with an Object,99,0.09,1.36
Forcible Fondling of a Child,709,0.63,9.72
Robbery,1486,1.32,20.37
Aggravated Assault,4738,4.2,64.96
Simple Assault,34023,30.13,466.48
Intimidation,1619,1.43,22.2
Arson,389,0.34,5.33
Extortion/Blackmail,29,0.03,0.4
Burglary/Breaking & Entering,4018,3.56,55.09
Pocket-picking,212,0.19,2.91
Purse-snatching,46,0.04,0.63
Shoplifting,9782,8.66,134.12
Theft from Building,746,0.66,10.23
Theft from Coin-Operated Machine or Device,75,0.07,1.03
Theft from Motor Vehicle,606,0.54,8.31
Theft of Motor Vehicle Parts or Accessories,151,0.13,2.07
All Other Larceny,9190,8.14,126
Motor Vehicle Theft,1558,1.38,21.36
Counterfeiting/Forgery,3127,2.77,42.87
False Pretenses/Swindle/Confidence Game,1702,1.51,23.34
Credit Card/Automatic Teller Machine Fraud,333,0.29,4.57
Impersonation,345,0.31,4.73
Welfare Fraud,61,0.05,0.84
Wire Fraud,8,0.01,0.11
Embezzlement,1250,1.11,17.14
Stolen Property Offenses,954,0.84,13.08
Destruction.Damage/Vandalism of Property,4333,3.84,59.41
Drug/Narcotic Violations,25244,22.36,346.12
Drug Equipment Violations,240,0.21,3.29
Incest,10,0.01,0.14
Statutory Rape,128,0.11,1.75
Pornography/Obscene Material,4,0.05,0.74
Betting/Wagering,22,0.02,0.3
Operating/Promoting/Assisting Gambling,4,0,0.05
Gambling Equipment Violations,4,0,0.05
Sports Tampering,0,0,0
Prostitution,426,0.38,5.84
Assisting or Promoting Prostitution,97,0.09,1.33
Bribery,4,0,0.05
Weapon Law Violations,3414,3.02,46.81
TOTAL,112904,100,1548.01
