Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Counties,,,,
ACCOMACK COUNTY,,,,
Sheriff's Office,53,44,9,9
Chincoteague PD,10,10,0,4
Onancock PD,3,3,0,0
Parksley PD,3,3,0,0
Onley PD,2,2,0,0
ALBEMARLE COUNTY,,,,
Albemarle PD,99,90,9,23
ALLEGHANY COUNTY,,,,
Sheriff's Office,42,36,6,11
AMELIA COUNTY,,,,
Sheriff's Office,12,12,0,7
AMHERST COUNTY,,,,
Sheriff's Office,63,48,15,5
Amherst PD,5,5,0,0
APPOMATTOX COUNTY,,,,
Sheriff's Office,30,24,6,3
ARLINGTON COUNTY,,,,
Arlington PD,343,281,62,139
AUGUSTA COUNTY,,,,
Sheriff's Office,58,57,1,62
BATH COUNTY,,,,
Sheriff's Office,17,14,3,0
BEDFORD COUNTY,,,,
Sheriff's Office,71,60,11,1
BLAND COUNTY,,,,
Sheriff's Office,8,8,0,7
BOTETOURT COUNTY,,,,
Sheriff's Office,63,57,6,17
BRUNSWICK COUNTY,,,,
Sheriff's Office,18,15,3,23
Lawrenceville PD,5,5,0,0
BUCHANAN COUNTY,,,,
Sheriff's Office,37,37,11,
Grundy PD,6,6,0,1
BUCKINGHAM COUNTY,,,,
Sheriff's Office,16,14,2,5
CAMPBELL COUNTY,,,,
Sheriff's Office,52,48,4,3
Altavista PD,11,11,0,0
Brookneal PD,4,4,0,0
CAROLINE COUNTY,,,,
Sheriff's Office,32,32,0,9
Bowling Green PD,2,2,0,0
CARROLL COUNTY,,,,
Sheriff's Office,27,26,1,6
Hillsville PD,11,11,0,1
CHARLES CITY COUNTY,,,,
Sheriff's Office,11,10,1,7
CHARLOTTE COUNTY,,,,
Sheriff's Office,28,21,7,2
CHESTERFIELD COUNTY,,,,
Chesterfield PD,411,383,28,96
CLARKE COUNTY,,,,
Sheriff's Office,13,13,0,9
Berryville PD,7,6,1,1
CRAIG COUNTY,,,,
Sheriff's Office,8,8,5,
CULPEPER COUNTY,,,,
Sheriff's Office,60,39,21,16
Culpeper PD,30,27,3,6
CUMBERLAND COUNTY,,,,
Sheriff's Office,11,9,2,5
DICKENSON COUNTY,,,,
Sheriff's Office,31,26,5,9
Clintwood PD,3,3,0,1
Haysi PD,2,2,0,0
Clinchco,0,0,0,0
DINWIDDIE COUNTY,,,,
Sheriff's Office,47,46,1,11
McKenney PD,1,1,0,0
ESSEX COUNTY,,,,
Sheriff's Office,13,9,4,0
