Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,2,0,0,0,0,0,0,0,2,1,3,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,2,3,7,1,18,0,0,0,6,0,0,0,8,4,0,0,22,0,0,0,1,0,0,0,3,0,1,0,22,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,111,13
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kidnaping,3,0,1,0,3,0,0,0,7,0,34,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24,3,2,0,0,0,2,0,38,2,45,0,1,0,2,0,2,0,53,2,0,0,44,1,0,0,1,0,3,0,12,0,46,5,44,1,0,0,1,0,3,0,12,0,46,5,7,1,3,0,1,0,402,18
"Sex Offenses, Forcible",14,4,14,0,3,0,1,1,13,1,31,2,4,1,0,0,1,0,3,2,0,0,0,0,2,0,12,2,6,0,0,2,6,1,68,28,35,4,0,0,12,4,1,0,13,4,0,0,64,29,0,1,6,1,11,1,16,2,78,12,64,29,0,1,6,1,11,1,16,2,78,12,15,2,3,1,12,5,506,126
Robbery,27,9,2,0,2,0,0,0,18,6,37,16,13,0,1,0,4,0,9,6,0,0,0,0,1,0,19,5,13,6,0,0,3,0,83,38,50,3,0,0,23,1,0,0,46,11,0,0,178,15,0,0,4,1,5,0,31,0,59,8,178,15,0,0,4,1,5,0,31,0,59,8,15,4,0,5,7,5,760,157
Aggravated Assault,64,14,9,1,24,1,6,3,46,8,244,32,21,2,5,1,14,1,23,1,0,0,0,0,2,1,46,9,25,0,2,0,19,5,243,57,57,4,8,0,67,2,2,0,98,15,0,0,402,56,0,0,8,0,28,2,45,3,97,28,402,56,0,0,8,0,28,2,45,3,97,28,71,11,7,0,8,5,1912,288
Simple Assault/Intimidation,494,78,78,11,149,6,27,1,292,10,918,63,182,56,45,5,800,26,77,19,0,0,0,0,29,0,760,72,166,3,21,0,213,19,1292,208,477,11,21,9,457,20,30,4,1185,97,0,0,1407,484,1,0,163,20,341,26,521,5,2475,599,1407,484,1,0,163,20,341,26,521,5,2475,599,242,27,53,7,182,42,14591,2027
Arson,5,2,0,0,2,1,0,0,1,1,5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,3,3,0,7,34,1,0,0,0,2,1,0,0,2,1,0,0,10,18,0,0,4,0,1,3,2,0,14,9,10,18,0,0,4,0,1,3,2,0,14,9,2,0,0,0,0,2,78,87
Extortion/Blackmail,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,11
Burglary,34,9,12,6,12,1,2,0,25,3,111,15,28,17,2,2,3,1,13,13,0,0,0,0,4,0,26,14,4,0,4,0,6,8,176,110,64,1,2,4,35,6,0,1,56,9,0,0,202,40,0,0,9,1,12,16,25,0,160,77,202,40,0,0,9,1,12,16,25,0,160,77,32,4,6,0,7,6,1256,402
Larceny,435,94,21,15,75,8,5,0,111,12,637,106,294,206,21,26,281,17,63,36,0,0,2,0,10,0,318,86,62,3,9,1,88,17,432,250,568,41,108,20,127,24,8,7,293,30,0,0,523,75,13,0,81,33,191,83,250,12,976,546,523,75,13,0,81,33,191,83,250,12,976,546,128,21,27,3,214,177,7277,2142
Motor Vehicle Theft,27,8,1,0,3,5,3,0,3,0,23,8,0,0,0,4,2,0,9,4,0,0,0,0,1,0,0,0,6,1,3,1,5,9,34,96,11,3,2,2,8,3,2,1,2,0,0,0,151,85,0,0,12,6,15,6,1,0,56,24,151,85,0,0,12,6,15,6,1,0,56,24,16,5,4,8,0,0,436,317
Counterfeiting/Forgery,24,1,38,2,15,0,2,0,31,0,60,8,26,1,24,0,18,0,11,0,0,0,0,0,2,0,27,2,11,0,4,0,95,1,64,1,76,0,3,0,41,0,4,0,19,0,0,0,73,0,0,0,111,2,121,0,19,1,103,6,73,0,0,0,111,2,121,0,19,1,103,6,25,5,2,0,12,0,1210,31
Fraud,50,1,7,1,12,1,0,0,49,0,73,5,11,6,2,2,50,1,3,0,0,0,0,0,8,0,50,6,24,1,5,1,23,2,107,7,62,2,1,0,4,0,1,0,14,0,0,0,19,1,3,0,21,3,29,1,19,0,106,5,19,1,3,0,21,3,29,1,19,0,106,5,35,1,5,0,26,2,992,52
Embezzlement,35,7,0,0,10,0,1,0,15,0,42,0,42,2,0,0,4,0,1,0,0,0,0,0,6,0,13,0,9,0,0,0,6,0,34,5,36,1,1,0,7,0,0,0,2,0,0,0,6,0,0,0,3,0,9,0,6,0,80,3,6,0,0,0,3,0,9,0,6,0,80,3,16,1,2,0,6,1,492,22
Stolen Property,11,1,3,0,1,0,0,0,13,0,36,6,2,4,0,0,2,0,0,0,0,0,0,0,0,0,10,1,2,0,1,0,0,0,72,39,31,0,1,0,18,1,0,2,24,2,0,0,3,1,0,0,5,1,1,0,8,1,32,9,3,1,0,0,5,1,1,0,8,1,32,9,9,0,1,2,8,2,385,91
Vandalism,33,4,13,7,9,0,3,1,32,3,11,0,21,31,2,0,77,5,14,9,0,0,0,0,6,0,50,10,13,1,3,0,16,4,106,77,36,5,3,1,40,1,3,1,55,3,0,0,169,58,0,0,25,24,35,19,52,1,183,128,169,58,0,0,25,24,35,19,52,1,183,128,44,3,9,2,23,12,1254,435
Drug/Narcotic Offenses,293,38,28,7,122,6,4,1,195,11,1053,161,168,35,24,3,120,4,51,11,0,0,0,0,15,0,421,43,201,13,30,2,76,7,1262,132,1167,9,10,1,222,20,61,21,830,41,11,0,1184,125,63,2,127,12,95,21,185,20,1719,244,1184,125,63,2,127,12,95,21,185,20,1719,244,126,12,39,2,326,18,11764,1125
"Sex Offenses, Nonforcible",2,0,4,0,1,0,0,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,4,0,0,0,1,0,0,0,3,1,0,0,6,0,0,0,0,0,1,0,0,0,10,4,6,0,0,0,0,0,1,0,0,0,10,4,0,0,0,0,0,0,52,8
Pornography,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,20,0
Gambling,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,3
Prostitution,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,19,0,84,0,0,0,3,0,0,0,9,0,0,0,200,0,19,0,0,0,0,0,0,0,45,1,200,0,19,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,437,4
Bribery,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
