Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,1,3,16,35,34,73,155,251,178,249,208,171,127,597,517,543,477,305,152,63,14,14,4183
Cocaine ,0,1,3,8,16,38,59,117,94,135,111,88,73,334,294,290,263,168,50,19,10,6,2177
Hashish ,0,1,0,1,1,1,1,6,1,2,2,6,0,4,5,3,1,0,1,0,0,0,36
Heroin ,0,0,0,1,1,5,16,21,38,45,36,26,25,125,108,83,85,64,36,14,6,3,738
Marijuana ,3,19,251,355,604,882,1514,1520,1250,1016,822,640,545,1743,1055,854,672,357,141,46,10,13,14312
Morphine ,0,0,1,1,4,6,1,2,2,3,4,1,5,11,14,8,6,5,0,2,0,0,76
Opium ,0,0,0,0,0,0,0,0,3,2,5,3,0,8,8,2,2,2,0,0,0,0,35
Other Narcotic ,0,0,8,2,3,5,13,15,11,19,21,22,15,69,66,72,45,52,20,0,3,0,461
LSD ,0,0,0,0,0,3,0,3,0,1,1,0,1,0,2,0,0,0,0,0,0,0,11
PCP ,0,0,0,0,0,0,3,1,1,4,0,1,1,8,5,5,3,1,0,0,0,0,33
Other Halucinogens ,0,0,4,1,2,1,7,8,8,3,4,3,4,9,4,0,1,0,0,0,0,0,59
Amphetamines/ Methamphetamines ,0,0,1,2,2,2,12,25,21,17,28,10,18,54,52,38,25,19,5,1,0,0,332
Other Stimulants ,0,0,7,4,4,2,4,2,2,4,2,2,1,5,2,4,5,0,2,1,0,0,53
Barbituates ,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,2,1,0,0,0,0,0,11
Other Depressants ,0,0,1,0,1,5,3,2,2,2,4,2,2,6,8,7,4,5,1,0,0,0,55
Other Drugs ,0,2,20,10,12,10,18,11,16,10,13,7,8,26,23,34,25,17,8,4,0,0,274
Unknown Drug Type ,0,1,31,36,67,85,178,178,161,140,116,106,103,309,251,218,190,125,65,28,9,1,2398
TOTAL ,4,27,343,456,751,1118,1984,2163,1789,1652,1378,1088,928,3311,2416,2163,1805,1120,481,178,52,37,25244
Does not include the 154 drug equipment violation arrests ,,,,,,,,,,,,,,,,,,,,,,,
