Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,,
10--14,M,,2,,,,2
,F,,,,,,
,U,,,,,,
15-19,M,2,53,,,,55
,F,1,3,,,,4
,U,,,,,,
20-24,M,13,64,,1,,78
,F,6,3,,,,9
,U,,,,,,
25-29,M,6,31,,,,37
,F,3,2,,,,5
,U,,,,,,
30-34,M,15,10,,1,,26
,F,3,2,,,,5
,U,,,,,,
35-39,M,13,10,,,,23
,F,2,2,,,,4
,U,,,,,,
40-44,M,2,10,,,,12
,F,4,1,,,,5
,U,,,,,,
45-49,M,7,6,,,,13
,F,2,1,,,,3
,U,,,,,,
50-54,M,9,3,,,,12
,F,,,,,,
,U,,,,,,
55-59,M,1,2,,,,3
,F,,,,,,
,U,,,,,,
60-64,M,3,1,,,,4
,F,1,,,,,1
,U,,,,,,
65 & Over,M,6,1,,1,,8
,F,,,,,,
,U,,,,,,
Unknown,M,3,35,,,,38
,F,1,3,,,,4
,U,,,,,77,77
TOTAL,M,80,228,,3,,311
,F,23,17,,,,40
,U,,,,,77,77
