Group A Offense* ,Number 2010,2010,2009,2008,2007,2006,2005,2004
Murder/Nonnegligent Manslaughter*,369,4.61,4.43,4.75,5.33,5.21,6.16,5.26
Kidnaping/Abduction*,"1,615",20.18,23.44,27.33,29.28,28.31,28.78,25.34
Forcible Sex Offenses*,"4,981",62.25,60.63,67.69,68.94,71.64,70.12,69.55
Robbery,"5,680",70.99,80.19,96.36,100.37,101.55,98.92,92.62
Aggravated Assault*,"9,627",120.32,125.8,134.33,144.25,152.61,154.44,151.67
Simple Assault/Intimidation*,"101,700",1271.09,1247.5,1270.37,1278.19,1243.86,1247.8,1236.76
Arson,"1,234",15.42,16.63,18.86,21.54,22.73,21.84,21.95
Extortion/Blackmail,152,1.9,1.48,1.8,1.4,1.37,0.95,1.02
Burglary,"30,293",378.61,396.33,408.66,408.85,412.53,385.13,373.85
Larceny,"147,944",1849.06,1920.66,1976.38,1921.63,1908.36,2061.95,2105.84
Motor Vehicle Theft,"10,394",129.91,145.27,169.4,182.66,193.19,209.62,232.08
Counterfeiting/Forgery,"7,141",89.25,94.78,93.27,96.9,111.15,114.5,116.89
Fraud,"24,563",307,310.95,314.58,303.7,273.29,240.13,217.42
Embezzlement,"2,700",33.75,36.87,46.9,50.31,46.06,42.63,41.2
Stolen Property,"1,553",19.41,22.39,23.59,23.29,21.85,19.23,18.06
Damage/Vandalism,"77,694",971.05,1055.03,1189.99,1223.79,1264.16,1205.4,1202.08
Drug/Narcotic Offenses,"47,314",591.35,570.27,593.57,619.66,587.93,558.12,528.81
Nonforcible Sex Offenses*,204,2.55,2.71,2.96,2.83,3.34,3.53,4.04
Pornography,620,7.75,7.03,5.95,4.75,3.9,3.03,2.45
Gambling,83,1.04,1.46,0.76,0.92,2.11,0.74,0.52
Prostitution,989,12.36,14.51,9.22,10.7,13.48,13.12,13.39
Bribery,32,0.4,0.29,0.37,0.22,0.29,0.17,0.23
Weapon Law Violations,"9,019",112.72,117.31,133.01,137.03,141.53,141.21,130.24
* Crime counts are number of victims for offenses against a person and number of offenses for all other offenses.,,,,,,,,
