Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,2,3,6,13,51,89,82,84,97,92,111,450,307,237,260,226,172,81,32,13,2408
Cocaine ,0,0,2,5,6,12,47,73,69,81,91,98,88,523,388,275,160,155,121,61,19,8,2282
Hashish ,0,0,0,0,0,3,1,1,2,1,3,2,0,3,4,2,0,0,0,0,1,0,23
Heroin ,0,0,0,0,1,1,16,23,37,35,28,44,30,191,148,109,106,75,47,34,11,5,941
Marijuana ,0,25,260,312,602,924,2087,2246,1921,1580,1337,1087,1002,3213,1766,894,729,659,407,205,65,28,21349
Morphine ,0,0,1,2,0,1,2,3,4,2,3,6,0,13,20,13,15,12,5,2,2,9,115
Opium ,0,0,1,0,0,0,0,1,0,0,2,1,2,12,8,4,4,4,1,0,2,0,42
Other Narcotic ,0,1,12,11,9,21,36,54,47,83,73,60,63,332,234,186,186,139,60,41,26,37,1711
LSD ,0,0,0,0,0,3,0,5,4,3,2,0,1,3,2,0,0,0,0,0,0,0,23
PCP ,0,0,0,0,0,0,0,0,0,1,2,4,4,20,10,4,11,7,0,0,0,1,64
Other Hallucinogens ,0,0,0,0,3,2,7,11,9,4,4,7,3,13,6,3,6,0,3,1,1,0,83
Amphetamines/Methamphetamines ,0,0,0,1,0,6,9,23,22,13,22,26,20,108,60,67,53,38,12,6,1,0,487
Other Stimulants ,0,0,5,2,5,1,3,6,3,3,3,6,5,10,1,2,7,1,5,3,3,0,74
Barbiturates ,0,0,0,0,0,0,0,3,1,4,4,1,1,11,7,10,3,5,2,1,0,0,53
Other Depressants ,0,0,0,2,0,2,7,6,12,7,5,2,7,23,25,16,13,13,7,3,3,0,153
Other Drugs ,0,3,11,7,11,20,18,40,41,36,35,30,31,154,90,91,81,58,46,15,14,4,836
Unknown Drug Type ,0,2,32,48,72,97,230,219,237,207,172,169,146,604,387,283,214,177,146,58,16,8,3524
TOTAL ,0,31,326,393,715,1106,2514,2803,2491,2144,1883,1635,1514,5683,3463,2196,1848,1569,1034,511,196,113,34168
