,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter ,17,16,15,26,14,11,18,48,29,23,17,15,10,9,6,3,277
Negligent Manslaughter ,1,0,1,3,0,0,0,2,2,2,0,0,0,1,0,0,12
Kidnaping/Abduction ,55,43,53,52,47,51,47,213,143,94,67,90,48,14,14,12,1043
Forcible Rape ,12,29,13,22,17,20,15,45,39,42,24,21,14,4,7,4,328
Forcible Sodomy ,12,6,2,3,4,4,2,14,18,17,14,14,7,8,2,6,133
Sexual Assault with an Object ,3,2,6,3,3,4,5,16,12,7,12,6,5,5,1,2,92
Forcible Fondling ,22,21,10,13,20,15,6,80,88,74,67,69,41,31,19,39,615
Robbery ,193,202,149,137,100,87,67,249,130,81,89,55,32,12,5,6,1594
Aggravated Assault ,217,243,222,216,201,168,156,746,568,357,339,334,183,117,41,57,4165
Simple Assault ,1296,1415,1543,1661,1505,1491,1419,6437,4940,4010,3677,3155,2050,984,480,410,36473
Intimidation ,66,57,52,48,55,67,55,257,206,163,167,144,88,57,29,23,1534
Arson ,12,9,9,9,13,7,5,23,14,12,11,14,10,5,1,1,155
Extortion/Blackmail ,2,5,2,1,4,3,3,14,12,2,2,5,2,0,0,0,57
Burglary/Breaking and Entering ,411,362,277,254,179,155,164,604,314,245,225,181,100,30,12,2,3515
Pocket Picking ,35,22,14,21,11,18,11,26,29,11,21,16,10,5,1,2,253
Purse Snatching ,0,1,1,2,0,0,2,7,3,1,2,1,1,0,0,0,21
Shoplifting ,1255,1069,860,736,644,494,497,1789,1228,943,891,773,527,284,129,96,12215
Theft from Building ,51,54,44,27,36,30,26,123,79,58,59,52,32,15,7,2,695
Theft from Coin-Operated Machine or Device ,0,1,2,0,1,2,1,11,0,8,5,1,0,2,0,0,34
Theft from Motor Vehicle ,71,47,29,16,49,24,25,47,26,24,21,14,7,5,1,14,420
Theft of Motor Vehicle Parts ,10,6,7,7,3,1,4,25,15,12,10,10,4,0,3,1,118
All Other Larceny ,1007,860,783,583,502,497,451,1877,1340,1006,1023,893,543,280,131,82,11858
Motor Vehicle Theft ,85,59,31,44,39,33,28,125,92,101,63,64,32,15,4,4,819
Counterfeiting/Forgery ,83,91,119,92,94,97,120,459,316,264,187,161,83,32,18,14,2230
False Pretenses/Swindle/Confidence Game ,93,113,151,113,143,128,137,527,456,421,342,216,127,81,32,22,3102
Credit Card/Automatic Teller Machine Fraud ,23,25,43,32,23,34,29,97,102,46,55,37,13,4,1,0,564
Impersonation ,19,52,47,39,30,40,28,139,91,78,57,43,31,5,2,0,701
Welfare Fraud ,0,0,2,1,2,1,1,13,18,14,6,9,5,2,1,1,76
Wire Fraud ,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,5
Embezzlement ,73,102,86,80,83,65,78,223,162,240,181,133,68,30,17,9,1630
Stolen Property Offenses ,82,89,73,56,45,38,35,141,76,43,60,49,19,20,5,5,836
Destruct/Damage/Vandalism ,266,251,264,244,221,181,157,658,387,283,257,203,145,62,29,35,3643
Drug/Narcotic Violations ,2514,2803,2491,2144,1883,1635,1514,5683,3463,2196,1848,1569,1034,511,196,113,31597
Drug Equipment Violations ,19,29,23,15,20,16,16,38,38,21,21,20,14,6,3,0,299
Incest,0,0,0,0,0,0,0,1,2,1,0,2,0,1,0,0,7
Statutory Rape ,24,25,9,10,7,8,4,22,4,4,5,1,0,0,2,1,126
Porno./Obscene Material ,1,7,7,4,2,3,7,15,21,15,11,10,11,7,3,1,125
Betting/Wagering ,1,3,2,1,3,5,1,8,12,7,9,0,5,2,2,1,62
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0,0,2,0,0,3,1,1,1,1,9
Gambling Equip. Violations ,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
Sports Tampering ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Prostitution ,9,10,23,15,13,16,13,60,62,64,57,47,32,10,8,5,444
Assisting/Promoting Prostitution ,2,6,4,6,16,10,10,32,32,29,30,28,14,12,8,6,245
Bribery,1,0,1,1,0,1,1,3,2,1,0,1,1,2,0,1,16
Weapon Law Violations ,200,197,170,210,210,183,152,593,326,260,237,203,176,109,69,85,3380
TOTAL ,8243,8332,7640,6947,6242,5643,5311,21490,14901,11280,10173,8666,5525,2780,1290,1066,125529
