Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,442
Common-Law Spouse,44
Parent,208
Sibling,214
Child,215
Grandparent,7
Grandchild,16
In-Law,51
Stepparent,42
Stepchild,36
Stepsibling,11
Other Family Member,218
Victim Was Offender,504
Acquaintance,2438
Friend,385
Neighbor,151
Babysittee (the baby),10
Boyfriend/Girlfriend,971
Child of Boyfriend/Girlfriend,31
Homosexual Relationship,49
Ex-Spouse,38
Employee,12
Employer,11
Otherwise Known,1140
Relationship Unknown,2847
Victim Was Stranger,2161
