Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0,1,0,0,0,4,0,4,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,17,1,2,0,2,0,0,0,1,3,2,0,0,0,2,0,20,0,14,1,0,0,9,0,0,0,10,1,1,0,40,0,8,0,1,0,1,0,4,0,11,1,4,0,4,0,1,0,168,8
Manslaughter,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,1
Kidnaping,5,0,2,0,4,0,0,0,13,0,18,0,4,0,0,0,3,0,1,0,2,0,1,0,5,0,18,0,0,0,22,0,10,0,9,0,0,0,23,2,7,0,1,3,0,0,43,2,56,9,0,0,25,0,1,0,47,1,3,0,99,5,22,0,4,1,4,0,18,2,47,4,2,0,7,0,5,0,531,29
"Sex Offenses, Forcible",11,2,0,0,8,0,0,0,15,1,21,2,4,2,3,0,4,2,1,0,3,0,0,0,1,0,13,1,1,1,34,14,9,5,15,4,1,0,10,3,12,1,6,1,2,1,38,5,48,11,0,0,12,2,2,0,24,0,7,1,50,7,30,3,2,1,7,1,18,3,63,18,9,2,6,2,5,0,495,96
Robbery,30,17,0,0,2,0,0,0,15,0,35,5,14,0,0,0,23,4,4,0,2,0,2,0,6,2,9,0,1,0,89,24,6,5,14,3,0,0,18,8,11,5,1,0,11,2,74,21,96,50,0,0,26,3,0,0,51,3,2,0,208,11,58,7,3,3,0,0,11,1,95,23,8,0,2,0,2,1,929,198
Aggravated Assault,65,9,4,0,42,0,1,0,39,3,101,6,12,2,2,1,43,2,6,1,3,0,2,0,9,1,44,2,10,1,96,18,31,2,42,2,1,0,38,4,25,0,3,0,12,0,200,21,127,13,3,1,72,5,3,2,125,1,19,0,425,27,229,20,7,3,11,0,54,1,111,18,23,3,5,0,6,1,2051,170
Simple Assault/Intimidation,423,83,77,5,134,2,10,1,404,3,1227,12,141,80,64,7,648,17,78,10,56,6,33,6,106,0,261,2,81,4,960,162,240,8,220,17,7,0,768,24,179,18,44,10,208,19,1330,110,1546,40,33,3,479,29,44,9,974,13,110,7,2301,284,1260,101,169,40,227,13,587,21,2971,535,204,19,89,13,257,18,18950,1751
Arson,3,1,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,5,21,5,3,1,0,2,1,0,0,1,0,1,0,6,0,4,1,0,1,1,0,3,1,8,11,2,4,2,0,1,0,65,50
Extortion/Blackmail,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,16,28,0,0,0,0,1,0,0,0,6,10,1,0,1,0,0,0,32,40
