Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,148
Common-Law Spouse,17
Parent,14
Sibling,19
Child,107
Grandparent,4
Grandchild,21
In-Law,3
Stepparent,2
Stepchild,4
Stepsibling,1
Other Family Member,20
Victim Was Offender,11
Acquaintance,263
Friend,33
Neighbor,7
Babysittee (the baby),1
Boyfriend/Girlfriend,473
Child of Boyfriend/Girlfriend,14
Homosexual Relationship,6
Ex-Spouse,13
Employee,3
Employer,4
Otherwise Known,138
Relationship Unknown,303
Victim Was Stranger,266
