Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""disturbance"" calls (family quarrels, man with gun, etc.) ",392,26.6
2. Burglaries in progress or pursuing burglary suspects ,12,0.8
3. Robberies in progress or pursuing robbery suspects ,7,0.5
4. Attempting other arrests ,317,21.5
"5. Civil disorder (riot, mass disobedience) ",20,1.4
"6. Handling, transporting, custody of prisoners ",201,13.6
7. Investigating suspicious persons or circumstances ,125,8.5
8. Ambush - no warning ,5,0.3
9. Mentally deranged ,36,2.4
10. Traffic pursuits and stops ,117,7.9
11. All Other ,243,16.5
TOTAL ,1475,100
