Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,3,57,8,,
10--12,1,92,8,1,
13-14 ,1,171,32,1,
15,,89,32,2,
16,,86,44,1,
17,3,89,65,1,
18,,110,80,,
19,2,74,81,1,
20,,59,56,,
21,,67,76,,
22,1,52,61,,
23,,53,47,,
24,,52,55,1,
25-29 ,,135,210,1,
30-34 ,,93,151,3,
35-39 ,,56,114,6,
40-44 ,,73,93,2,
45-49 ,1,41,84,2,
50-54 ,,35,48,,
55-59 ,,10,27,,
60-64 ,,8,10,,
65 & Over ,,16,13,,
Unknown Age ,,13,157,2,55
TOTAL ,12,1531,1552,24,55
White ,11,1029,865,17,2
Black ,1,454,622,5,1
Am. Ind. or ,,,,,
Alaskan Native ,,1,2,,
Asian or ,,,,,
Pacific Islander ,,23,13,1,
Unknown Race ,,24,50,1,52
TOTAL ,12,1531,1552,24,55
