Type of Weapon/Force,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Firearm (type unknown) ,83,477,6,3,2,3,371
Automatic Firearm ,2,20,0,1,1,0,42
Handgun ,110,723,23,9,1,6,2046
Automatic Handgun ,16,74,1,1,0,0,318
Rifle ,10,52,1,0,0,1,40
Automatic Rifle ,0,2,0,0,0,0,3
Shotgun ,12,81,0,0,0,0,160
Automatic Shotgun ,0,2,0,0,0,0,2
Other Firearm ,2,104,0,0,0,0,49
Other Auto. Firearm ,0,2,0,0,0,0,1
Knife/Cutting Instr. ,48,1969,35,7,2,9,407
Blunt Object ,10,1088,3,1,4,2,136
Motor Vehicle ,5,354,0,0,0,0,3
Personal Weapon ,27,2309,950,316,189,1586,1579
Poison ,0,17,0,0,0,0,0
Explosives ,0,4,0,0,0,0,2
Fire/Incend. Device ,0,26,0,0,0,0,1
Drugs/Narc./Sleep Pills ,1,2,2,2,0,1,2
Asphyxiation ,6,9,2,0,0,0,1
Other ,7,1043,135,47,33,177,199
Unknown ,22,324,79,23,19,119,256
None ,0,160,310,101,54,474,289
