Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter  ,294,0.21,3.67
Negligent Manslaughter,13,0.01,0.16
Kidnaping/Abduction  ,1092,0.77,13.65
Forcible Rape,377,0.26,4.71
Forcible Sodomy  ,177,0.12,2.21
Sexual Assault with an Object,105,0.07,1.31
Forcible Fondling of a Child  ,775,0.54,9.69
Robbery,1970,1.38,24.62
Aggravated Assault  ,4640,3.26,57.99
Simple Assault  ,41378,29.03,517.16
Intimidation  ,1716,1.2,21.45
Arson,271,0.19,3.39
Extortion/Blackmail  ,104,0.07,1.3
Burglary/Breaking & Entering  ,4343,3.05,54.28
Pocket Picking,297,0.21,3.71
Purse Snatching,26,0.02,0.32
Shoplifting  ,14678,10.3,183.45
Theft from Building,871,0.61,10.89
Theft from Coin-Operated Machine or Device,40,0.03,0.5
Theft from Motor Vehicle,512,0.36,6.4
Theft of Motor Vehicle Parts or Accessories  ,123,0.09,1.54
All Other Larceny  ,14133,9.92,176.64
Motor Vehicle Theft  ,1016,0.71,12.7
Counterfeiting/Forgery,2272,1.59,28.4
False Pretenses/Swindle/Confidence Game,3175,2.23,39.68
Credit Card/Automatic Teller Machine Fraud  ,606,0.43,7.57
Impersonation  ,738,0.52,9.22
Welfare Fraud  ,76,0.05,0.95
Wire Fraud,5,0,0.06
Embezzlement  ,1652,1.16,20.65
Stolen Property Offenses,996,0.7,12.45
Destruction/Damage/Vandalism of Property,4634,3.25,57.92
Drug/Narcotic Violations,34168,23.97,427.05
Drug Equipment Violations  ,332,0.23,4.15
Incest,8,0.01,0.1
Statutory Rape,146,0.1,1.82
Pornography/Obscene Material  ,163,0.11,2.04
Betting/Wagering  ,63,0.04,0.79
Operating/Promoting/Assisting Gambling  ,9,0.01,0.11
Gambling Equipment Violations,4,0,0.05
Sports Tampering  ,2,0,0.02
Prostitution,446,0.31,5.57
Assisting or Promoting Prostitution,246,0.17,3.07
Bribery,17,0.01,0.21
Weapon Law Violations,3815,2.68,47.68
TOTAL  ,142524,100,1781.32
