Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”,Name: “Table 1 of 1 on page 37 of 98”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,
,,,,Guidelines,Compliance,Compliance,,,,,
"In FY2012, there were 168 offenders","In FY2012, there were 168 offenders","In FY2012, there were 168 offenders","In FY2012, there were 168 offenders",One of the three rape offenders reaching,One of the three rape offenders reaching,One of the three rape offenders reaching,,,,,
convicted of offenses covered by the,convicted of offenses covered by the,convicted of offenses covered by the,convicted of offenses covered by the,the Level 1 risk group were sentenced,the Level 1 risk group were sentenced,the Level 1 risk group were sentenced,Figure,23,,,
rape guidelines (which cover the crimes,rape guidelines (which cover the crimes,rape guidelines (which cover the crimes,rape guidelines (which cover the crimes,within the extended high end of the,within the extended high end of the,within the extended high end of the,Sex Offender Risk,Sex Offender Risk,Sex Offender Risk,,
"of rape, forcible sodomy and object","of rape, forcible sodomy and object","of rape, forcible sodomy and object","of rape, forcible sodomy and object","range (Figure 24). As shown below, 32%","range (Figure 24). As shown below, 32%","range (Figure 24). As shown below, 32%","AOfsfseensdsemres,ntFYLe2v0e1l2s","AOfsfseensdsemres,ntFYLe2v0e1l2s","AOfsfseensdsemres,ntFYLe2v0e1l2s",for,Rape
penetration). Among offenders,penetration). Among offenders,penetration). Among offenders,penetration). Among offenders,of offenders with a Level 2 risk,of offenders with a Level 2 risk,of offenders with a Level 2 risk,,,,,
"convicted of these crimes, over one-half","convicted of these crimes, over one-half","convicted of these crimes, over one-half","convicted of these crimes, over one-half",classification and 16% of offenders with,classification and 16% of offenders with,classification and 16% of offenders with,No Level,No Level,,61.3%,61.3%
(61%) were not assigned a risk level by,(61%) were not assigned a risk level by,(61%) were not assigned a risk level by,(61%) were not assigned a risk level by,a Level 3 risk classification were given,a Level 3 risk classification were given,a Level 3 risk classification were given,,,,,
the Commission's risk assessment,the Commission's risk assessment,the Commission's risk assessment,the Commission's risk assessment,prison sentences within the adjusted,prison sentences within the adjusted,prison sentences within the adjusted,Level 3,Level 3,,22%,
instrument (Figure 23). Approximately,instrument (Figure 23). Approximately,instrument (Figure 23). Approximately,instrument (Figure 23). Approximately,range of the guidelines. With extended,range of the guidelines. With extended,range of the guidelines. With extended,,,,,
22% of these cases resulted in a Level 3,22% of these cases resulted in a Level 3,22% of these cases resulted in a Level 3,22% of these cases resulted in a Level 3,guidelines ranges available for higher,guidelines ranges available for higher,guidelines ranges available for higher,Level 2,Level 2,14.9%,14.9%,
"adjustment, a 50% increase in the upper","adjustment, a 50% increase in the upper","adjustment, a 50% increase in the upper","adjustment, a 50% increase in the upper","risk sex offenders, judges will","risk sex offenders, judges will",,,,,,
,,,,,,,Level 1,Level 1,,,
end of the traditional guidelines range,end of the traditional guidelines range,end of the traditional guidelines range,end of the traditional guidelines range,"occasionally sentence Level 1, 2 or 3","occasionally sentence Level 1, 2 or 3","occasionally sentence Level 1, 2 or 3",,,1.8%,,
recommendation. An additional 15%,recommendation. An additional 15%,recommendation. An additional 15%,recommendation. An additional 15%,offenders above the expanded guidelines,offenders above the expanded guidelines,offenders above the expanded guidelines,,,,,
received a Level 2 adjustment (100%,received a Level 2 adjustment (100%,received a Level 2 adjustment (100%,received a Level 2 adjustment (100%,range.,,,,,,,
increase). The most extreme adjustment,increase). The most extreme adjustment,increase). The most extreme adjustment,increase). The most extreme adjustment,,,,,,,,
(300%) affected 2% of rape guidelines,(300%) affected 2% of rape guidelines,(300%) affected 2% of rape guidelines,(300%) affected 2% of rape guidelines,,,,,,,,
cases.,,,,,,,,,,,
Figure,24,,,,,,,,,,
"Rape Compliance Rates By Risk Assessment Level, FY2012","Rape Compliance Rates By Risk Assessment Level, FY2012","Rape Compliance Rates By Risk Assessment Level, FY2012","Rape Compliance Rates By Risk Assessment Level, FY2012","Rape Compliance Rates By Risk Assessment Level, FY2012","Rape Compliance Rates By Risk Assessment Level, FY2012",,,,,,
,,,Compliance,Compliance,,,,,,,
,,,Traditional,Adjusted,,Number,,,,,
,,Mitigation,Range,Range,Aggravation,of Cases,,Overall,Overall,Compliance,Compliance
Level 1,,0%,33.3%,33.3%,33.3%,3,,,,66.6%,66.6%
Level 2,,12.0%,48.0%,32.0%,8.0%,25,,,,,80%
Level 3,,27.0%,48.6%,16.2%,8.1%,37,,,,64.8%,64.8%
No Level,No Level,23.3%,63.1%,---,13.6%,103,,,,63.1%,63.1%
Overall,,22.0%,57.1%,8.9%,11.9%,168,,,,66%,66%
,,,,,29,,,,,,
