Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”,Name: “Table 1 of 1 on page 93 of 98”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,,
,Appendices,Appendices,,,,,
Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,
Offenses Against the Person,,,,,,,
,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons for AGGRAVATION,(N=153),(N=57),(N=19),(N=90),(N=20),(N=120),(N=120)
Plea agreement,23,6,2,16,2,,34
No reason given,25,7,4,19,3,,22
Offender has extensive prior record or same type of prior offense,22,4,2,12,1,,7
Aggravating circumstances/flagrancy of offense,20,21,4,20,2,,26
Number of violations/counts in the event,6,4,1,2,0,,4
Jury sentence,18,10,4,13,3,,5
Guidelines recommendation is too low,6,2,0,6,1,,2
Offender has poor rehabilitation potential,9,6,0,4,5,,3
"Degree of victim injury (physical, emotional, etc.)",39,3,0,3,1,,4
"Current offense involves drugs/alcohol (large amount,etc.)",3,2,0,1,0,,0
Offender is sentenced to an alt. punishment to incarceration,1,0,0,0,0,,0
"Type of victim (child, etc.)",5,3,0,2,8,,23
"Judicial discretion (time served, shock incarceration, etc.)",2,2,0,2,0,,1
Offense involved a high degree of planning/violation of trust,1,2,0,3,2,,10
Offender's substance abuse issues,0,2,0,0,0,,0
"Victim circumstances (facts of the case, etc.)",3,1,0,0,0,,2
Poor conduct since commission of offense,1,0,0,1,0,,1
True offense behavior/more serious than offenses at conviction,6,1,0,0,0,,2
Extreme property or monetary loss,0,0,0,0,0,,0
Aggravating court circumstances/proceedings,0,4,1,0,0,,1
Offender used a weapon in commission of the offense,5,1,1,5,0,,0
Offender failed alternative sanction program,0,0,0,0,0,,0
Degree of violence toward victim,14,2,0,4,1,,0
Offender needs rehabilitation offered by jail/prison,0,2,0,0,0,,0
Mandatory minimum involved in event,2,0,1,0,0,,1
New offenses were committed while on probation,0,0,0,0,0,,0
Aggravating facts involving the breaking and entering,0,0,0,1,0,,0
Sentencing guidelines not appropriate,8,0,2,0,0,,0
Victim request,1,1,0,0,1,,7
Sentence recommended by Commonwealth Attorney,0,0,1,1,0,,1
"Offender issues (age of offender, lacks family support, etc.)",0,1,0,0,0,,2
Child present at time of offense,3,1,0,0,0,,0
Offender failed to cooperate with authorities,0,1,0,2,0,,0
Current offense involves accident/reckless driving,0,0,0,0,0,,0
Seriousness of offense,1,0,0,1,0,,0
Prior record not adequately weighed by guidelines,0,0,1,0,0,,0
Failed to follow instructions while on probation,1,1,0,0,0,,0
Gang-related offense,2,1,0,2,0,,0
"Financial obligations (court costs, restitution, child support, etc.)",1,0,0,0,0,,0
Absconded from probation supervision,0,0,0,0,0,,0
Offender was the leader,0,0,0,3,0,,0
Violent/disruptive behavior in custody,0,0,0,0,1,,1
Total Reasons,228,91,24,123,31,,159
Note:,Figures indicate the number of times a departure reason was cited.,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,,
,,85,,,,,
