Name: “Table 1 of 1 on page 5 of 98”,Name: “Table 1 of 1 on page 5 of 98”,Name: “Table 1 of 1 on page 5 of 98”,Name: “Table 1 of 1 on page 5 of 98”,Name: “Table 1 of 1 on page 5 of 98”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,
,Commonwealth of Virginia,,,
HON . F. B RUCE,B ACH,M EREDITH,F ARRAR -O WENS,F ARRAR -O WENS
C HAIRMAN,,,,
,,D IRECTOR,,
,,100 N ORTH N INTH STREET,100 N ORTH N INTH STREET,100 N ORTH N INTH STREET
,,"RICHMOND , VIRGINIA","RICHMOND , VIRGINIA",23219
,,(804),225 - 4398,
,Supreme Court of Virginia,,,
,Virginia Criminal Sentencing Commission,,,
,"December 1, 2012",,,
To:,"The Honorable Cynthia D. Kinser, Chief Justice of Virginia",,,
,"The Honorable Robert F. McDonnell, Governor of Virginia",,,
,The Honorable Members of the General Assembly of Virginia,,,
,The Citizens of Virginia,,,
,Section 17.1-803 of the Code of Virginia requires the Virginia Criminal Sentencing Commission to,Section 17.1-803 of the Code of Virginia requires the Virginia Criminal Sentencing Commission to,,
"report annually upon its work and recommendations. Pursuant to this statutory obligation, we respectfully","report annually upon its work and recommendations. Pursuant to this statutory obligation, we respectfully","report annually upon its work and recommendations. Pursuant to this statutory obligation, we respectfully",,
submit for your review the 2012 Annual Report of the Criminal Sentencing Commission.,submit for your review the 2012 Annual Report of the Criminal Sentencing Commission.,submit for your review the 2012 Annual Report of the Criminal Sentencing Commission.,,
,This report summarizes the work of the Criminal Sentencing Commission over the past year . The report,This report summarizes the work of the Criminal Sentencing Commission over the past year . The report,This report summarizes the work of the Criminal Sentencing Commission over the past year . The report,
presents a comprehensive examination of judicial compliance with the felony sentencing guidelines for fiscal year,presents a comprehensive examination of judicial compliance with the felony sentencing guidelines for fiscal year,presents a comprehensive examination of judicial compliance with the felony sentencing guidelines for fiscal year,presents a comprehensive examination of judicial compliance with the felony sentencing guidelines for fiscal year,
2012. The Commission's recommendations to the 2013 Session of the Virginia General Assembly also are,2012. The Commission's recommendations to the 2013 Session of the Virginia General Assembly also are,2012. The Commission's recommendations to the 2013 Session of the Virginia General Assembly also are,,
contained in this report.,,,,
,I would like to use this opportunity to express our utmost gratitude to two Commission members who,I would like to use this opportunity to express our utmost gratitude to two Commission members who,I would like to use this opportunity to express our utmost gratitude to two Commission members who,
"have completed their full terms and are not eligible for re-appointment. They are Judge Robert J. Humphreys, of","have completed their full terms and are not eligible for re-appointment. They are Judge Robert J. Humphreys, of","have completed their full terms and are not eligible for re-appointment. They are Judge Robert J. Humphreys, of","have completed their full terms and are not eligible for re-appointment. They are Judge Robert J. Humphreys, of",
"Virginia Beach, and Mr. Robert C. Hagan, of Daleville. These individuals have performed their duties in an","Virginia Beach, and Mr. Robert C. Hagan, of Daleville. These individuals have performed their duties in an","Virginia Beach, and Mr. Robert C. Hagan, of Daleville. These individuals have performed their duties in an",,
exemplary fashion and our work is far better because of their insights and valuable contributions.,exemplary fashion and our work is far better because of their insights and valuable contributions.,exemplary fashion and our work is far better because of their insights and valuable contributions.,,
,The Commission wishes to sincerely thank those in the field whose diligent work with the guidelines,The Commission wishes to sincerely thank those in the field whose diligent work with the guidelines,The Commission wishes to sincerely thank those in the field whose diligent work with the guidelines,
enables us to produce this report.,,,,
,"Sincerely,",,,
,F. Bruce Bach,,,
,Chairman,,,
