Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”,Name: “Table 1 of 1 on page 92 of 98”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,
,2012 Annual Report,2012 Annual Report,2012 Annual Report,,,,
Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,
Offenses Against the Person,,,,,,,
,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons for MITIGATION,(N=212),(N=37),(N=28),(N=227),(N=36),(N=71),(N=71)
Plea Agreement,86,5,16,59,14,,16
No reason given,41,6,6,46,4,,13
"Judicial discretion (time served, other sentence to serve, etc.)",19,4,4,23,1,,7
Offender cooperated with authorities,3,4,2,35,0,,4
Offender is sentenced to an alternative punishment to incarceration 3,Offender is sentenced to an alternative punishment to incarceration 3,0,0,3,0,,0
Minimal circumstances/facts of the case,12,4,3,9,6,,9
Sentence recommended by Commonwealth Attorney,10,1,0,18,2,,3
Offender has minimal/no prior record,5,2,1,19,3,,5
Mitigating court circumstances/proceedings,13,5,1,11,2,,3
"Offender health (mental, physical, emotional, etc.)",19,4,0,6,1,,5
Offender has good potential for rehabilitation,1,5,1,14,2,,2
"Offender issues (age of offender, homeless, family issues, etc.)",8,0,1,10,1,,4
Offender has made progress in rehabilitating him/herself,6,1,2,3,0,,1
Victim request,16,2,4,3,3,,3
Offender not the leader,2,0,2,15,0,,0
"Financial obligations (court costs, restitution, child support, etc.)",5,0,0,2,0,,0
Victim cannot/will not testify,6,1,0,7,4,,2
Jury sentence,2,4,0,8,5,,4
Sentencing guidelines incorrect/missing,1,2,0,3,0,,0
Offender's substance abuse issues,0,1,0,2,0,,0
Offender needs rehabilitation,1,1,0,1,0,,0
"Victim circumstances (facts of the case, etc.)",8,3,0,1,1,,0
Sentenced to Department of Juvenile Justice,2,1,0,15,0,,3
Guidelines recommendation is too harsh,2,0,1,2,0,,2
Behavior positive since commission of the offense,0,0,0,1,0,,0
Minimal property or monetary loss,0,0,0,0,0,,0
Current offense involves drugs/alcohol (small amount of drugs),0,0,0,2,0,,0
Little or no injury/offender did not intend to harm,7,1,0,0,0,,1
Victim's role in the offense,6,2,0,1,1,,0
Multiple charges/events are being treated as one criminal event,1,0,0,3,0,,0
Sentencing guidelines recommendation not appropriate,1,0,0,0,0,,1
Illegible written reason,1,0,0,0,0,,1
Sentence recommended by Probation Officer,0,0,0,0,0,,0
Minimal circumstances involved with supervision violation,0,0,0,0,0,,0
Judge thought sentence was in compliance,1,0,0,0,0,,0
"Concealed weapon, but was not a firearm",0,0,0,1,0,,0
Facts of the case (not specific),0,0,0,1,0,,0
"Victim circumstances (facts of the case, etc.)",0,0,2,0,0,,0
Judge had an issue scoring one of the risk assessment factors,0,0,0,0,0,,0
Judge rounded guidelines minimum to nearest whole year,0,0,0,0,0,,0
Total Reasons,288,59,46,324,50,,89
Note:,Figures indicate the number of times a departure reason was cited.,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,,
,,84,,,,,
